Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Player,Unnamed: 2_level_0 Nation,Unnamed: 3_level_0 Pos,Unnamed: 4_level_0 Squad,Unnamed: 5_level_0 Comp,Unnamed: 6_level_0 Age,Unnamed: 7_level_0 Born,Unnamed: 8_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 21_level_0 Int,Unnamed: 22_level_0 Tkl+Int,Unnamed: 23_level_0 Clr,Unnamed: 24_level_0 Err,Unnamed: 25_level_0 Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,Matches
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,1.3,4,4,2,2,0,4,5,80.0,1,1,0,1,0,4,3,0,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,0.7,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,1.0,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,11.5,17,11,15,2,0,10,16,62.5,6,26,18,8,14,31,57,1,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,31.6,48,32,13,20,15,15,48,31.3,33,24,1,23,26,74,28,2,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,9.5,21,14,12,6,3,13,22,59.1,9,11,5,6,15,36,56,1,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,15.5,43,25,18,14,11,28,43,65.1,15,20,6,14,20,63,37,0,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,2.3,3,2,2,0,1,1,1,100.0,0,2,0,2,2,5,0,0,Matches
11,Abel,es ESP,DF,Osasuna,es La Liga,23,2000,23.0,61,37,28,25,8,39,63,61.9,24,29,4,25,18,79,64,2,Matches
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0,Matches
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,30.8,11,5,2,4,5,3,9,33.3,6,15,1,14,4,15,36,1,Matches
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,12.1,29,20,12,10,7,21,32,65.6,11,15,2,13,5,34,41,0,Matches
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,21.1,22,13,7,8,7,4,23,17.4,19,16,1,15,6,28,9,0,Matches
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,27.4,36,23,24,11,1,20,34,58.8,14,28,18,10,39,75,146,1,Matches
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,13.1,17,11,2,10,5,6,8,75.0,2,13,0,13,2,19,16,0,Matches
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,19.0,23,19,16,7,0,11,17,64.7,6,22,16,6,26,49,81,0,Matches
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,1.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,11.9,4,3,1,2,1,3,4,75.0,1,2,1,1,1,5,5,1,Matches
25,Che Adams,sct SCO,FW,Torino,it Serie A,28,1996,29.5,12,6,2,4,6,1,7,14.3,6,13,6,7,2,14,18,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,21.8,83,50,26,49,8,39,72,54.2,33,33,10,23,32,115,42,0,Matches
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,17.2,9,3,3,3,3,3,11,27.3,8,14,0,14,12,21,20,0,Matches
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,1997,15.7,17,13,11,6,0,8,12,66.7,4,9,7,2,11,28,80,0,Matches
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20,2003,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,Matches
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,2002,15.9,20,14,6,6,8,8,20,40.0,12,14,1,13,7,27,5,0,Matches
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,2002,12.2,23,14,10,8,5,10,26,38.5,16,12,0,12,8,31,6,2,Matches
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,2000,8.5,15,9,4,2,9,4,11,36.4,7,11,0,11,0,15,4,0,Matches
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24,2000,13.7,32,19,11,16,5,17,39,43.6,22,13,1,12,6,38,19,0,Matches
34,Adrián,es ESP,GK,Betis,es La Liga,37,1987,19.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,14,3,Matches
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18,2006,0.5,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0,Matches
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27,1997,8.0,18,13,8,7,3,10,14,71.4,4,4,1,3,7,25,6,0,Matches
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26,1998,18.2,17,8,4,8,5,7,19,36.8,12,17,1,16,8,25,20,0,Matches
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27,1997,15.7,30,19,21,9,0,13,20,65.0,7,19,13,6,12,42,90,0,Matches
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27,1997,14.0,25,17,19,3,3,19,26,73.1,7,22,13,9,19,44,64,1,Matches
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18,2005,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,Matches
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18,2005,3.3,7,6,6,0,1,3,7,42.9,4,2,1,1,1,8,0,1,Matches
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23,2000,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,Matches
