Unnamed: 0_level_0 Rk,Unnamed: 1_level_0 Player,Unnamed: 2_level_0 Nation,Unnamed: 3_level_0 Pos,Unnamed: 4_level_0 Squad,Unnamed: 5_level_0 Comp,Unnamed: 6_level_0 Age,Unnamed: 7_level_0 Born,Playing Time MP,Playing Time Starts,Playing Time Min,Unnamed: 11_level_0 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Unnamed: 27_level_0 Matches
1,Adrián,es ESP,GK,Betis,es La Liga,37,1987,19,19,1710,19.0,27,1.42,76,49,65.8,10,5,4,3,15.8,1,1,0,0,0.0,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23,2000,14,14,1206,13.4,9,0.67,34,24,76.5,9,4,1,5,35.7,2,1,1,0,50.0,Matches
3,Ben Alexander Voll,de GER,GK,St. Pauli,de Bundesliga,23,2000,2,1,91,1.0,2,1.98,5,3,60.0,0,1,0,0,0.0,0,0,0,0,,Matches
4,Alisson,br BRA,GK,Liverpool,eng Premier League,31,1992,28,28,2508,27.9,29,1.04,100,73,72.0,18,7,3,9,32.1,1,1,0,0,0.0,Matches
5,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31,1993,26,25,2260,25.1,41,1.63,115,77,64.3,5,7,13,5,20.0,0,0,0,0,,Matches
6,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29,1994,31,31,2790,31.0,39,1.26,134,95,73.9,13,7,11,8,25.8,4,4,0,0,0.0,Matches
7,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22,2002,26,26,2307,25.6,37,1.44,120,81,69.2,12,6,8,10,38.5,2,0,2,0,100.0,Matches
8,Emil Audero,id IDN,GK,Como,it Serie A,27,1997,8,8,720,8.0,18,2.25,34,16,58.8,2,2,4,0,0.0,4,4,0,0,0.0,Matches
9,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,25,1999,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
10,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28,1996,32,32,2880,32.0,39,1.22,133,93,75.2,10,12,10,8,25.0,8,6,2,0,25.0,Matches
