Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 15_level_0 Int,Unnamed: 16_level_0 Tkl+Int,Unnamed: 17_level_0 Clr,Unnamed: 18_level_0 Err
be Antwerp,20,6.0,99,56,49,38,12,53,118,44.9,65,82,26,56,46,145,111,5
eng Arsenal,23,10.3,142,77,34,73,35,67,150,44.7,83,100,21,79,69,211,127,1
es Atlético Madrid,22,10.3,142,98,83,39,20,80,175,45.7,95,154,39,115,85,227,210,4
es Barcelona,25,10.0,161,110,61,68,32,76,156,48.7,80,118,34,84,76,237,168,5
de Bayern Munich,23,12.0,195,131,100,71,24,92,212,43.4,120,144,39,105,107,302,184,3
pt Benfica,22,6.0,129,78,70,46,13,73,145,50.3,72,74,23,51,52,181,114,2
pt Braga,23,6.0,109,61,52,42,15,56,112,50.0,56,65,19,46,45,154,95,1
sct Celtic,23,6.0,86,49,45,31,10,50,107,46.7,57,82,30,52,45,131,124,0
de Dortmund,23,13.0,270,156,160,93,17,155,274,56.6,119,177,50,127,116,386,295,5
dk FC Copenhagen,24,8.0,150,87,91,36,23,86,166,51.8,80,109,40,69,74,224,195,4
nl Feyenoord,24,6.0,99,67,41,39,19,51,92,55.4,41,64,17,47,50,149,58,2
tr Galatasaray,20,6.0,120,76,57,43,20,64,129,49.6,65,69,19,50,61,181,118,5
it Inter,22,8.3,109,61,53,46,10,42,104,40.4,62,88,24,64,60,169,170,2
it Lazio,21,8.0,112,70,43,59,10,50,135,37.0,85,96,34,62,72,184,129,0
fr Lens,20,6.0,113,76,56,48,9,63,104,60.6,41,65,14,51,48,161,115,2
eng Manchester City,25,10.3,117,72,38,56,23,59,111,53.2,52,65,14,51,50,167,98,3
eng Manchester Utd,24,6.0,76,50,39,31,6,32,86,37.2,54,83,24,59,57,133,97,5
it Milan,23,6.0,106,61,54,37,15,48,91,52.7,43,65,20,45,42,148,107,1
it Napoli,23,8.0,120,64,58,52,10,60,129,46.5,69,89,27,62,75,195,152,1
eng Newcastle Utd,23,6.0,100,71,52,35,13,54,110,49.1,56,88,33,55,37,137,123,1
fr Paris S-G,21,12.0,192,120,93,71,28,96,214,44.9,118,114,24,90,98,290,157,7
pt Porto,25,8.3,161,93,86,54,21,60,131,45.8,71,81,22,59,69,230,142,4
nl PSV Eindhoven,22,8.0,131,84,58,58,15,63,124,50.8,61,99,25,74,65,196,104,1
de RB Leipzig,23,8.0,154,91,88,47,19,80,177,45.2,97,104,31,73,75,229,136,6
at RB Salzburg,23,6.0,119,72,64,43,12,58,128,45.3,70,98,22,76,60,179,135,1
es Real Madrid,23,13.3,199,118,107,68,24,81,175,46.3,94,136,52,84,95,294,220,3
es Real Sociedad,26,8.0,143,85,62,54,27,60,117,51.3,57,88,22,66,64,207,132,1
rs Red Star,22,6.0,100,47,42,38,20,49,113,43.4,64,89,45,44,50,150,123,4
es Sevilla,24,6.0,114,70,55,54,5,57,115,49.6,58,64,24,40,44,158,91,0
ua Shakhtar,21,6.0,111,62,63,36,12,57,130,43.8,73,66,19,47,47,158,154,6
de Union Berlin,21,6.0,93,49,53,32,8,40,100,40.0,60,85,41,44,36,129,156,3
ch Young Boys,23,6.0,95,61,44,36,15,40,114,35.1,74,110,34,76,59,154,99,2
