Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
be Antwerp,20,6.0,99,16.5,74,9,6,4,3,3,8,1.33,5,0,1,1,0,1
eng Arsenal,23,10.3,217,21.0,156,22,17,9,9,4,33,3.19,27,0,4,2,0,0
es Atlético Madrid,22,10.3,251,24.29,203,14,12,11,8,3,29,2.81,21,1,1,6,0,0
es Barcelona,25,10.0,273,27.3,203,17,20,21,7,5,34,3.4,26,2,2,3,1,0
de Bayern Munich,23,12.0,304,25.33,222,22,17,26,11,6,37,3.08,25,2,3,4,3,0
pt Benfica,22,6.0,124,20.67,90,12,5,10,5,2,13,2.17,11,0,1,0,0,1
pt Braga,23,6.0,160,26.67,121,13,6,10,7,3,11,1.83,8,1,0,1,0,1
sct Celtic,23,6.0,82,13.67,62,6,4,6,3,1,10,1.67,7,0,1,1,1,0
de Dortmund,23,13.0,302,23.23,217,33,20,16,12,4,31,2.38,25,2,1,1,1,1
dk FC Copenhagen,24,8.0,146,18.25,102,10,16,15,3,0,17,2.12,15,0,0,2,0,0
nl Feyenoord,24,6.0,156,26.0,112,13,8,10,9,4,14,2.33,9,1,0,3,1,0
tr Galatasaray,20,6.0,163,27.17,117,16,6,14,7,3,18,3.0,14,0,1,0,3,0
it Inter,22,8.3,203,24.36,146,17,10,18,11,1,16,1.92,10,0,0,4,2,0
it Lazio,21,8.0,165,20.62,122,14,12,7,7,3,14,1.75,7,0,2,3,2,0
fr Lens,20,6.0,109,18.17,81,11,3,5,7,2,12,2.0,9,0,0,0,2,1
eng Manchester City,25,10.3,397,38.42,311,22,21,27,16,0,53,5.13,41,1,3,3,5,0
eng Manchester Utd,24,6.0,122,20.33,96,8,7,4,6,1,20,3.33,16,2,0,1,1,0
it Milan,23,6.0,175,29.17,122,17,17,14,5,0,9,1.5,6,0,1,2,0,0
it Napoli,23,8.0,199,24.87,151,12,19,10,7,0,18,2.25,13,0,2,3,0,0
eng Newcastle Utd,23,6.0,107,17.83,81,9,3,5,7,2,10,1.67,8,0,0,2,0,0
fr Paris S-G,21,12.0,388,32.33,306,18,29,22,8,5,31,2.58,20,2,3,5,1,0
pt Porto,25,8.3,182,21.84,135,12,13,11,6,5,25,3.0,15,1,2,3,1,3
nl PSV Eindhoven,22,8.0,232,29.0,182,18,14,7,8,3,15,1.87,12,0,0,1,2,0
de RB Leipzig,23,8.0,223,27.87,156,19,18,18,9,3,27,3.38,16,2,5,2,0,2
at RB Salzburg,23,6.0,125,20.83,100,3,6,8,4,4,7,1.17,6,0,0,1,0,0
es Real Madrid,23,13.3,392,29.4,297,28,29,24,9,5,48,3.6,36,1,5,4,1,1
es Real Sociedad,26,8.0,187,23.37,131,21,13,13,7,2,12,1.5,7,0,4,1,0,0
rs Red Star,22,6.0,142,23.67,100,9,13,15,1,4,10,1.67,6,1,0,3,0,0
es Sevilla,24,6.0,92,15.33,60,15,9,0,6,2,14,2.33,9,3,0,0,2,0
ua Shakhtar,21,6.0,115,19.17,91,7,4,6,5,2,16,2.67,13,1,0,1,1,0
de Union Berlin,21,6.0,101,16.83,81,7,3,4,3,3,10,1.67,8,0,0,1,0,1
ch Young Boys,23,6.0,125,20.83,89,13,9,7,4,3,11,1.83,9,0,1,1,0,0
