Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
eng Arsenal,24,14.0,30,179,76,42.5,12.79,5.43,0.16,0.37,14.7,5,2,5,27.0,23.0,0.13,3.0,5.0
eng Aston Villa,25,12.0,22,152,61,40.1,12.67,5.08,0.14,0.34,17.4,7,1,2,18.8,17.2,0.12,3.2,3.8
it Atalanta,24,10.0,22,171,61,35.7,17.1,6.1,0.12,0.34,15.0,3,1,3,24.5,22.0,0.13,-2.5,-1.0
es Atlético Madrid,23,10.3,22,123,48,39.0,11.9,4.65,0.18,0.46,16.9,2,0,0,14.5,14.5,0.12,7.5,7.5
es Barcelona,27,14.3,40,221,93,42.1,15.42,6.49,0.17,0.4,16.7,7,3,3,32.2,29.9,0.14,7.8,7.1
de Bayern Munich,27,14.0,31,282,101,35.8,20.14,7.21,0.09,0.26,17.0,5,5,5,33.6,30.0,0.11,-2.6,-4.0
pt Benfica,23,12.0,20,167,64,38.3,13.92,5.33,0.1,0.25,17.1,4,4,4,23.6,20.5,0.12,-3.6,-4.5
it Bologna,24,8.0,4,94,27,28.7,11.75,3.38,0.04,0.15,17.8,3,0,0,8.1,8.1,0.09,-4.1,-4.1
fr Brest,23,10.0,9,131,38,29.0,13.1,3.8,0.07,0.24,18.4,5,0,0,11.4,11.4,0.09,-2.4,-2.4
sct Celtic,24,10.0,14,94,37,39.4,9.4,3.7,0.14,0.35,16.1,2,1,2,14.5,13.0,0.14,-0.5,0.0
be Club Brugge,21,12.0,11,121,43,35.5,10.08,3.58,0.07,0.21,19.6,1,2,2,11.5,9.9,0.09,-0.5,-0.9
hr Dinamo Zagreb,25,8.0,12,75,24,32.0,9.37,3.0,0.16,0.5,18.4,3,0,0,7.0,7.0,0.1,5.0,5.0
de Dortmund,25,14.0,31,191,75,39.3,13.64,5.36,0.13,0.32,16.3,2,7,8,27.8,21.4,0.11,3.2,2.6
nl Feyenoord,29,12.0,19,121,44,36.4,10.08,3.67,0.14,0.39,19.4,3,2,3,13.3,10.9,0.09,5.7,6.1
es Girona,26,8.0,5,77,28,36.4,9.62,3.5,0.06,0.18,17.2,1,0,2,9.6,8.0,0.1,-4.6,-3.0
it Inter,25,15.3,25,175,57,32.6,11.41,3.72,0.11,0.35,17.4,5,5,7,24.3,18.8,0.11,0.7,1.2
it Juventus,26,10.3,12,115,37,32.2,11.13,3.58,0.1,0.3,17.5,2,1,1,11.8,11.0,0.1,0.2,0.0
de Leverkusen,25,10.0,14,151,55,36.4,15.1,5.5,0.09,0.24,17.8,5,1,1,15.1,14.5,0.1,-1.1,-1.5
fr Lille,25,10.0,17,93,36,38.7,9.3,3.6,0.16,0.42,16.4,3,2,2,11.5,10.0,0.11,5.5,5.0
eng Liverpool,27,10.3,18,143,57,39.9,13.84,5.52,0.11,0.28,16.4,3,2,3,20.7,18.3,0.13,-2.7,-2.3
eng Manchester City,26,10.0,20,167,62,37.1,16.7,6.2,0.1,0.27,16.4,4,3,4,21.0,18.0,0.11,-1.0,-1.0
it Milan,26,10.0,15,149,59,39.6,14.9,5.9,0.1,0.25,18.7,8,0,0,13.8,13.8,0.09,1.2,1.2
fr Monaco,25,10.0,16,118,43,36.4,11.8,4.3,0.13,0.35,17.0,4,1,1,13.3,12.6,0.11,2.7,2.4
fr Paris S-G,22,17.3,37,319,115,36.1,18.4,6.63,0.11,0.31,17.5,6,1,2,35.6,34.1,0.11,1.4,1.9
nl PSV Eindhoven,28,12.3,22,206,76,36.9,16.7,6.16,0.1,0.28,17.9,4,1,1,19.3,18.5,0.09,2.7,2.5
de RB Leipzig,23,8.0,8,102,36,35.3,12.75,4.5,0.07,0.19,17.7,5,1,1,12.3,11.6,0.12,-4.3,-4.6
at RB Salzburg,24,8.0,5,74,22,29.7,9.25,2.75,0.07,0.23,18.3,1,0,1,6.6,5.9,0.08,-1.6,-0.9
es Real Madrid,23,14.3,29,209,83,39.7,14.58,5.79,0.13,0.34,17.3,5,1,3,28.0,25.6,0.13,1.0,2.4
rs Red Star,24,8.0,13,93,30,32.3,11.62,3.75,0.13,0.4,17.8,1,1,1,9.3,8.5,0.09,3.7,3.5
ua Shakhtar,21,8.0,8,74,20,27.0,9.25,2.5,0.09,0.35,19.0,1,1,2,8.3,6.7,0.09,-0.3,0.3
sk Slovan Bratislava,23,8.0,7,61,18,29.5,7.62,2.25,0.1,0.33,18.8,3,1,1,7.0,6.2,0.1,0.0,-0.2
cz Sparta Prague,26,8.0,6,75,21,28.0,9.37,2.62,0.08,0.29,17.7,1,0,0,6.3,6.3,0.08,-0.3,-0.3
pt Sporting CP,27,10.0,13,122,41,33.6,12.2,4.1,0.09,0.27,18.3,5,2,2,12.8,11.3,0.09,0.2,-0.3
at Sturm Graz,23,8.0,4,67,24,35.8,8.37,3.0,0.06,0.17,19.1,1,0,0,6.2,6.2,0.1,-2.2,-2.2
de Stuttgart,23,8.0,12,138,43,31.2,17.25,5.37,0.09,0.28,17.5,6,0,1,14.1,13.3,0.1,-2.1,-1.3
ch Young Boys,24,8.0,3,81,18,22.2,10.13,2.25,0.04,0.17,19.5,2,0,0,5.6,5.6,0.07,-2.6,-2.6
