Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
cy AÉK Lárnaka,1,4,4,360,4.0,6,1.5,17,11,64.7,1,1,2,2,50.0,0,0,0,0,
be Anderlecht,2,12,12,1140,12.7,10,0.79,47,37,80.9,5,3,4,5,41.7,1,1,0,0,0.0
cy Apollon,2,6,6,540,6.0,7,1.17,20,13,70.0,2,1,3,3,50.0,1,1,0,0,0.0
at Austria Wien,2,6,6,540,6.0,15,2.5,26,12,42.3,0,2,4,1,16.7,0,0,0,0,
nl AZ Alkmaar,2,12,12,1110,12.3,13,1.05,41,28,70.7,8,0,4,2,16.7,1,1,0,0,0.0
tr Başakşehir,2,8,8,720,8.0,8,1.0,25,17,68.0,4,2,2,4,50.0,0,0,0,0,
ch Basel,2,14,14,1350,15.0,21,1.4,67,46,70.1,6,5,3,2,14.3,2,1,0,1,0.0
il Be'er Sheva,1,6,6,540,6.0,5,0.83,29,24,86.2,1,4,1,3,50.0,2,1,0,1,0.0
no Bodø/Glimt,1,2,2,180,2.0,1,0.5,2,1,50.0,0,1,1,1,50.0,0,0,0,0,
pt Braga,2,2,2,180,2.0,7,3.5,13,6,46.2,0,0,2,0,0.0,0,0,0,0,
ro CFR Cluj,1,8,8,720,8.0,6,0.75,35,30,85.7,3,2,3,4,50.0,1,1,0,0,0.0
se Djurgården,2,8,8,720,8.0,11,1.37,34,23,70.6,5,1,2,3,37.5,1,1,0,0,0.0
ro FCSB,1,6,6,540,6.0,18,3.0,39,22,59.0,0,2,4,1,16.7,2,2,0,0,0.0
it Fiorentina,3,15,15,1380,15.3,18,1.17,39,21,59.0,10,1,4,4,26.7,2,2,0,0,0.0
lv FK Rīgas FS,1,6,6,540,6.0,11,1.83,40,29,75.0,0,2,4,1,16.7,1,1,0,0,0.0
be Gent,2,12,12,1110,12.3,14,1.14,39,24,66.7,4,4,4,4,33.3,2,1,1,0,50.0
sct Hearts,1,6,6,540,6.0,16,2.67,35,19,57.1,2,0,4,1,16.7,1,1,0,0,0.0
xk KF Ballkani Therandë,1,6,6,540,6.0,11,1.83,33,22,66.7,1,1,4,0,0.0,1,0,1,0,100.0
de Köln,1,6,6,540,6.0,8,1.33,28,20,75.0,2,2,2,1,16.7,1,1,0,0,0.0
it Lazio,2,4,4,360,4.0,4,1.0,8,4,50.0,1,1,2,2,50.0,0,0,0,0,
pl Lech Poznań,1,12,12,1080,12.0,13,1.08,37,23,67.6,6,4,2,6,50.0,2,1,1,0,50.0
bg Ludogorets,1,2,2,210,2.3,2,0.86,10,8,80.0,1,0,1,1,50.0,0,0,0,0,
no Molde,1,6,6,540,6.0,10,1.67,24,14,62.5,2,1,3,3,50.0,1,1,0,0,0.0
fr Nice,2,10,10,930,10.3,12,1.16,39,27,71.8,4,4,2,2,20.0,1,1,0,0,0.0
rs Partizan,1,8,8,720,8.0,10,1.25,32,22,71.9,3,3,2,3,37.5,1,1,0,0,0.0
am Pyunik,1,6,6,540,6.0,9,1.5,28,19,71.4,2,0,4,2,33.3,1,1,0,0,0.0
az Qarabağ,1,2,2,210,2.3,1,0.43,4,3,75.0,1,0,1,1,50.0,0,0,0,0,
ie Shamrock Rov,2,6,6,540,6.0,10,1.67,32,22,68.8,0,2,4,1,16.7,0,0,0,0,
md Sheriff Tiraspol,1,4,4,360,4.0,6,1.5,13,7,53.8,1,0,3,0,0.0,0,0,0,0,
dk Silkeborg,1,6,6,540,6.0,7,1.17,26,19,84.6,2,0,4,2,33.3,3,3,0,0,0.0
tr Sivasspor,1,8,8,720,8.0,12,1.5,52,41,76.9,3,2,3,2,25.0,1,0,1,0,100.0
ua SK Dnipro-1,1,8,8,720,8.0,8,1.0,34,26,76.5,3,2,3,2,25.0,0,0,0,0,
cz Slavia Prague,2,6,6,540,6.0,7,1.17,13,6,61.5,2,2,2,1,16.7,2,2,0,0,0.0
cz Slovácko,2,6,6,540,6.0,11,1.83,29,17,72.4,1,2,3,0,0.0,4,3,1,0,25.0
sk Slovan Bratislava,2,8,8,750,8.3,11,1.32,33,22,72.7,3,4,1,2,25.0,2,2,0,0,0.0
tr Trabzonspor,1,2,2,180,2.0,2,1.0,7,5,71.4,1,0,1,1,50.0,0,0,0,0,
li Vaduz,2,6,6,537,6.0,11,1.84,28,17,60.7,0,2,4,1,16.7,0,0,0,0,
es Villarreal,2,8,8,720,8.0,11,1.37,25,14,64.0,4,2,2,2,25.0,2,2,0,0,0.0
eng West Ham,1,13,13,1170,13.0,8,0.62,37,29,81.1,12,1,0,6,46.2,1,1,0,0,0.0
lt Žalgiris,1,6,6,540,6.0,8,1.33,29,21,75.9,1,2,3,1,16.7,2,1,0,1,0.0
