Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 17_level_0 Ast,Unnamed: 18_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 21_level_0 KP,Unnamed: 22_level_0 1/3,Unnamed: 23_level_0 PPA,Unnamed: 24_level_0 CrsPA,Unnamed: 25_level_0 PrgP
cy AÉK Lárnaka,20,4.0,1140,1587,71.8,22064,8582,443,544,81.4,467,582,80.2,183,346,52.9,0,2.2,1.9,-2.2,29,86,19,10,114
be Anderlecht,28,12.7,5257,6448,81.5,98763,33037,2110,2389,88.3,2463,2809,87.7,611,1028,59.4,9,11.6,11.6,-2.6,107,415,108,28,522
cy Apollon,23,6.0,2335,2955,79.0,42972,14459,951,1076,88.4,974,1161,83.9,314,536,58.6,5,2.6,3.7,2.4,39,142,33,10,177
at Austria Wien,24,6.0,2204,2767,79.7,41750,14935,886,1005,88.2,1015,1187,85.5,273,474,57.6,0,3.1,3.0,-3.1,59,191,37,6,245
nl AZ Alkmaar,26,12.3,6263,7425,84.4,114299,35062,2538,2792,90.9,2877,3216,89.5,677,1059,63.9,16,12.5,12.9,3.5,130,478,120,29,539
tr Başakşehir,26,8.0,4079,4795,85.1,75956,23829,1645,1817,90.5,1879,2064,91.0,467,705,66.2,12,6.3,6.7,5.7,70,228,58,13,299
ch Basel,24,15.0,5570,6958,80.1,104550,36628,2215,2524,87.8,2549,2914,87.5,677,1200,56.4,16,10.9,10.8,5.1,132,446,89,26,549
il Be'er Sheva,20,6.0,1972,2520,78.3,36635,14051,785,901,87.1,928,1086,85.5,217,411,52.8,4,3.7,4.7,0.3,49,143,33,4,191
no Bodø/Glimt,18,2.0,989,1170,84.5,18427,4298,331,381,86.9,587,637,92.2,66,117,56.4,0,1.9,2.2,-1.9,21,76,25,2,100
pt Braga,22,2.0,651,869,74.9,12526,4884,258,309,83.5,263,320,82.2,97,181,53.6,1,0.7,1.4,0.3,10,50,10,3,42
ro CFR Cluj,23,8.0,1700,2697,63.0,35048,17779,648,889,72.9,677,957,70.7,314,685,45.8,2,5.2,5.5,-3.2,74,189,51,14,251
se Djurgården,24,8.0,2981,3798,78.5,56601,18686,1258,1440,87.4,1262,1465,86.1,411,761,54.0,11,7.0,7.6,4.0,58,236,53,14,239
ro FCSB,23,6.0,1971,2589,76.1,36951,13625,836,976,85.7,835,1024,81.5,256,464,55.2,3,3.9,4.0,-0.9,51,130,32,12,168
it Fiorentina,29,15.3,7107,8587,82.8,138808,45044,2621,2997,87.5,3317,3711,89.4,1010,1534,65.8,24,24.8,25.0,-0.8,220,659,189,87,793
lv FK Rīgas FS,21,6.0,1502,2069,72.6,30122,13298,607,739,82.1,619,794,78.0,253,459,55.1,2,2.9,3.2,-0.9,31,141,39,13,142
be Gent,29,12.3,5349,6908,77.4,99999,34750,2339,2715,86.2,2172,2633,82.5,723,1220,59.3,13,13.9,15.3,-0.9,130,416,111,31,559
sct Hearts,22,6.0,1951,2507,77.8,36425,13402,796,922,86.3,889,1019,87.2,226,451,50.1,5,3.4,3.9,1.6,33,96,47,16,168
xk KF Ballkani Therandë,21,6.0,2219,2902,76.5,43323,15241,796,948,84.0,1125,1295,86.9,269,526,51.1,6,3.3,3.5,2.7,45,155,26,7,180
de Köln,22,6.0,2622,3387,77.4,51882,17892,856,1046,81.8,1349,1588,84.9,361,577,62.6,6,8.4,7.7,-2.4,61,212,65,19,312
it Lazio,22,4.0,1995,2427,82.2,33399,11720,914,1046,87.4,805,916,87.9,170,285,59.6,3,2.4,2.6,0.6,34,111,24,5,122
pl Lech Poznań,22,12.0,4186,5240,79.9,83044,29043,1536,1738,88.4,1987,2276,87.3,592,995,59.5,17,11.3,11.8,5.7,99,316,93,16,435
