Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 15_level_0 Int,Unnamed: 16_level_0 Tkl+Int,Unnamed: 17_level_0 Clr,Unnamed: 18_level_0 Err
sct Aberdeen,21,6.0,95,49,50,37,8,57,114,50.0,57,60,22,38,75,170,142,0
nl Ajax,19,4.3,70,40,37,25,8,35,66,53.0,31,39,10,29,36,106,64,5
kz Astana FK,20,6.0,96,57,46,42,8,50,109,45.9,59,68,23,45,57,153,110,1
eng Aston Villa,29,12.3,132,71,67,45,20,58,96,60.4,38,72,12,60,52,184,129,4
nl AZ Alkmaar,23,6.0,74,51,36,27,11,35,72,48.6,37,61,16,45,54,128,86,2
tr Beşiktaş,28,6.0,114,74,71,31,12,58,118,49.2,60,77,33,44,68,182,105,2
es Betis,17,2.0,29,19,14,12,3,11,26,42.3,15,23,5,18,12,41,20,0
no Bodø/Glimt,26,8.3,108,66,47,39,22,53,112,47.3,59,80,24,56,62,170,129,2
is Breiðablik,18,6.0,77,40,40,30,7,40,102,39.2,62,68,18,50,68,145,97,2
be Club Brugge,25,12.0,164,105,63,69,32,78,169,46.2,91,139,35,104,101,265,236,3
rs Čukarički,25,6.0,96,62,56,35,5,50,108,46.3,58,68,17,51,71,167,167,2
hr Dinamo Zagreb,28,10.0,161,88,88,58,15,81,159,50.9,78,103,32,71,89,250,170,3
de Eint Frankfurt,27,8.0,131,86,69,39,23,59,120,49.2,61,75,13,62,94,225,116,4
tr Fenerbahçe,27,10.3,189,132,87,76,26,97,193,50.3,96,113,31,82,93,282,157,6
hu Ferencváros,26,8.0,109,59,52,46,11,45,102,44.1,57,94,35,59,62,171,169,2
it Fiorentina,28,13.7,191,113,86,72,33,109,188,58.0,79,111,14,97,85,276,153,2
be Genk,21,6.0,85,51,44,34,7,40,83,48.2,43,63,25,38,51,136,106,3
be Gent,26,8.0,123,72,45,61,17,74,152,48.7,78,85,24,61,88,211,81,3
fi HJK,24,6.0,87,57,42,30,15,53,104,51.0,51,76,24,52,66,153,133,4
xk KF Ballkani Therandë,19,6.0,128,69,71,51,6,72,125,57.6,53,57,20,37,55,183,128,2
fo KÍ,19,6.0,87,50,47,31,9,41,85,48.2,44,62,21,41,56,143,163,2
pl Legia Warsaw,24,8.0,99,61,41,41,17,45,103,43.7,58,62,17,45,56,155,126,4
fr Lille,28,10.3,143,100,55,66,22,68,141,48.2,73,95,25,70,78,221,168,3
bg Ludogorets,22,8.0,135,87,66,58,11,67,145,46.2,78,83,17,66,68,203,143,5
ch Lugano,20,6.0,96,56,47,38,11,53,114,46.5,61,66,9,57,47,143,87,4
il Maccabi Haifa,19,4.0,66,40,40,19,7,25,49,51.0,24,61,19,42,46,112,145,0
il Maccabi Tel Aviv,24,8.3,114,63,55,45,14,57,130,43.8,73,95,28,67,88,202,179,4
no Molde,18,4.0,57,39,30,21,6,29,60,48.3,31,60,17,43,32,89,103,3
dk Nordsjælland,23,6.0,70,39,27,33,10,33,87,37.9,54,61,15,46,42,112,79,1
si Olimpija,21,6.0,100,58,43,47,10,48,86,55.8,38,61,22,39,44,144,94,2
gr Olympiacos,22,10.0,157,100,71,68,18,72,156,46.2,84,119,33,86,109,266,195,1
gr PAOK,22,10.0,129,84,52,56,21,65,136,47.8,71,124,25,99,84,213,166,4
ch Servette FC,17,4.3,76,43,32,37,7,40,82,48.8,42,41,10,31,37,113,92,1
sk Slovan Bratislava,22,8.0,109,64,61,43,5,61,135,45.2,74,88,38,50,86,195,183,2
sk Spartak Trnava,23,6.0,96,53,51,38,7,49,117,41.9,68,70,23,47,71,167,146,3
at Sturm Graz,18,4.0,53,31,22,25,6,29,73,39.7,44,68,14,54,42,95,74,2
be Union SG,20,4.0,68,48,33,28,7,41,83,49.4,42,42,10,32,51,119,56,0
cz Viktoria Plzeň,26,10.7,178,107,89,61,28,73,156,46.8,83,118,44,74,126,304,264,0
ua Zorya Luhansk,23,6.0,74,48,42,25,7,39,82,47.6,43,77,22,55,104,178,119,3
ba Zrinjski Mostar,21,6.0,121,77,81,32,8,65,130,50.0,65,68,25,43,71,192,179,0
