Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
sct Aberdeen,21,6.0,88,14.67,58,12,3,4,10,1,17,2.83,14,1,0,1,1,0
nl Ajax,19,4.3,55,12.69,43,5,0,4,3,0,8,1.85,5,1,0,1,1,0
kz Astana FK,20,6.0,86,14.33,61,8,9,4,4,0,8,1.33,5,1,1,1,0,0
eng Aston Villa,29,12.3,277,22.46,209,26,14,18,7,3,32,2.59,19,5,0,6,1,1
nl AZ Alkmaar,23,6.0,112,18.67,85,9,7,4,4,3,13,2.17,11,0,0,1,1,0
tr Beşiktaş,28,6.0,120,20.0,91,9,8,6,3,3,6,1.0,4,0,0,2,0,0
es Betis,17,2.0,43,21.5,24,5,4,6,4,0,2,1.0,2,0,0,0,0,0
no Bodø/Glimt,26,8.3,183,21.96,138,12,13,12,7,1,26,3.12,19,1,2,2,1,1
is Breiðablik,18,6.0,128,21.33,101,8,6,4,7,2,8,1.33,4,1,1,2,0,0
be Club Brugge,25,12.0,261,21.75,200,19,13,10,10,9,43,3.58,33,2,3,2,2,1
rs Čukarički,25,6.0,72,12.0,57,6,4,3,2,0,4,0.67,4,0,0,0,0,0
hr Dinamo Zagreb,28,10.0,229,22.9,181,10,14,9,14,1,26,2.6,17,2,0,3,4,0
de Eint Frankfurt,27,8.0,214,26.75,152,21,7,26,5,3,24,3.0,14,4,0,4,1,1
tr Fenerbahçe,27,10.3,215,20.81,156,16,14,12,11,6,30,2.9,21,1,2,2,2,2
hu Ferencváros,26,8.0,174,21.75,126,16,11,12,6,3,15,1.87,10,2,0,2,1,0
it Fiorentina,28,13.7,499,36.51,379,44,20,32,20,4,42,3.07,24,4,2,6,6,0
be Genk,21,6.0,140,23.33,99,11,8,9,11,2,13,2.17,7,1,2,2,1,0
be Gent,26,8.0,229,28.62,172,16,12,16,7,6,27,3.38,22,2,0,0,3,0
fi HJK,24,6.0,94,15.67,75,5,5,7,1,1,13,2.17,8,1,2,1,1,0
xk KF Ballkani Therandë,19,6.0,104,17.33,74,8,8,6,6,2,4,0.67,2,1,1,0,0,0
fo KÍ,19,6.0,78,13.0,48,16,2,6,4,2,10,1.67,5,2,2,1,0,0
pl Legia Warsaw,24,8.0,157,19.62,116,21,4,8,5,3,19,2.37,16,1,0,1,1,0
fr Lille,28,10.3,250,24.19,179,22,16,15,16,2,30,2.9,18,3,1,4,4,0
bg Ludogorets,22,8.0,199,24.87,137,19,16,16,10,1,16,2.0,13,0,0,2,1,0
ch Lugano,20,6.0,169,28.17,134,12,6,9,6,2,8,1.33,6,0,0,2,0,0
il Maccabi Haifa,19,4.0,38,9.5,28,2,5,1,0,2,9,2.25,7,0,1,1,0,0
il Maccabi Tel Aviv,24,8.3,157,18.84,122,10,12,6,6,1,28,3.36,22,0,2,3,1,0
no Molde,18,4.0,65,16.25,51,2,7,4,1,0,14,3.5,10,0,1,3,0,0
dk Nordsjælland,23,6.0,131,21.83,93,10,10,12,5,1,22,3.67,13,1,2,6,0,0
si Olimpija,21,6.0,123,20.5,84,13,8,11,4,3,6,1.0,1,2,0,1,1,1
gr Olympiacos,22,10.0,207,20.7,149,27,11,10,9,1,30,3.0,23,1,2,2,1,1
gr PAOK,22,10.0,228,22.8,158,24,12,18,14,2,36,3.6,23,4,1,2,5,1
ch Servette FC,17,4.3,116,26.77,81,8,7,7,6,7,0,0.0,0,0,0,0,0,0
sk Slovan Bratislava,22,8.0,188,23.5,128,23,14,10,12,1,17,2.12,14,0,2,0,1,0
sk Spartak Trnava,23,6.0,88,14.67,65,10,2,3,5,3,5,0.83,5,0,0,0,0,0
at Sturm Graz,18,4.0,109,27.25,77,9,6,10,7,0,11,2.75,7,1,1,1,1,0
be Union SG,20,4.0,74,18.5,52,12,4,4,2,0,7,1.75,7,0,0,0,0,0
cz Viktoria Plzeň,26,10.7,179,16.78,112,24,15,13,12,3,15,1.41,10,2,1,0,1,1
ua Zorya Luhansk,23,6.0,147,24.5,108,6,10,11,4,8,14,2.33,14,0,0,0,0,0
ba Zrinjski Mostar,21,6.0,57,9.5,41,7,1,3,5,0,10,1.67,8,0,0,1,1,0
