Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
sct Aberdeen,21,6.0,10,52,19,36.5,8.67,3.17,0.19,0.53,16.4,4,0,0,6.1,6.1,0.12,3.9,3.9
nl Ajax,19,4.3,4,28,8,28.6,6.46,1.85,0.11,0.38,17.7,1,1,1,5.1,4.3,0.16,-1.1,-1.3
kz Astana FK,20,6.0,4,48,10,20.8,8.0,1.67,0.08,0.4,18.1,1,0,1,4.5,3.7,0.08,-0.5,0.3
eng Aston Villa,29,12.3,21,154,66,42.9,12.49,5.35,0.14,0.32,17.1,1,0,1,14.4,13.6,0.09,6.6,7.4
nl AZ Alkmaar,23,6.0,7,60,21,35.0,10.0,3.5,0.1,0.29,17.2,1,1,1,5.6,4.8,0.08,1.4,1.2
tr Beşiktaş,28,6.0,6,66,24,36.4,11.0,4.0,0.09,0.25,18.1,0,0,0,5.1,5.1,0.08,0.9,0.9
es Betis,17,2.0,1,25,5,20.0,12.5,2.5,0.04,0.2,17.8,3,0,0,1.7,1.7,0.07,-0.7,-0.7
no Bodø/Glimt,26,8.3,14,103,41,39.8,12.36,4.92,0.13,0.32,16.6,3,1,1,13.6,12.8,0.13,0.4,0.2
is Breiðablik,18,6.0,5,71,20,28.2,11.83,3.33,0.07,0.25,18.5,5,0,1,8.7,7.9,0.11,-3.7,-2.9
be Club Brugge,25,12.0,25,149,54,36.2,12.42,4.5,0.15,0.41,16.1,6,3,5,21.6,17.7,0.12,3.4,4.3
rs Čukarički,25,6.0,2,43,17,39.5,7.17,2.83,0.05,0.12,17.5,1,0,0,3.1,3.1,0.07,-1.1,-1.1
hr Dinamo Zagreb,28,10.0,15,123,42,34.1,12.3,4.2,0.09,0.26,19.6,9,4,4,13.4,10.3,0.09,1.6,0.7
de Eint Frankfurt,27,8.0,14,125,48,38.4,15.62,6.0,0.1,0.25,16.0,3,2,2,13.5,12.0,0.11,0.5,0.0
tr Fenerbahçe,27,10.3,18,123,44,35.8,11.9,4.26,0.13,0.36,16.6,3,2,3,15.4,13.0,0.11,2.6,3.0
hu Ferencváros,26,8.0,9,101,36,35.6,12.62,4.5,0.08,0.22,17.1,2,1,1,10.1,9.3,0.09,-1.1,-1.3
it Fiorentina,28,13.7,25,270,68,25.2,19.76,4.98,0.08,0.32,17.2,9,3,3,24.1,21.7,0.08,0.9,0.3
be Genk,21,6.0,8,76,23,30.3,12.67,3.83,0.09,0.3,16.6,0,1,2,9.9,8.3,0.11,-1.9,-1.3
be Gent,26,8.0,15,132,42,31.8,16.5,5.25,0.1,0.31,17.5,2,2,2,15.5,13.9,0.11,-0.5,-0.9
fi HJK,24,6.0,7,51,21,41.2,8.5,3.5,0.1,0.24,16.4,0,2,2,5.9,4.4,0.09,1.1,0.6
xk KF Ballkani Therandë,19,6.0,3,58,15,25.9,9.67,2.5,0.05,0.2,19.9,2,0,0,4.0,4.0,0.07,-1.0,-1.0
fo KÍ,19,6.0,5,44,15,34.1,7.33,2.5,0.11,0.33,16.1,2,0,0,6.1,6.1,0.14,-1.1,-1.1
pl Legia Warsaw,24,8.0,11,83,23,27.7,10.37,2.87,0.12,0.43,17.1,1,1,1,8.5,7.7,0.09,2.5,2.3
fr Lille,28,10.3,17,136,50,36.8,13.16,4.84,0.1,0.26,16.7,4,4,4,20.2,17.0,0.13,-3.2,-4.0
bg Ludogorets,22,8.0,10,112,46,41.1,14.0,5.75,0.08,0.2,19.6,2,1,2,11.5,9.9,0.09,-1.5,-0.9
ch Lugano,20,6.0,5,94,22,23.4,15.67,3.67,0.05,0.23,17.8,2,0,0,7.8,7.8,0.08,-2.8,-2.8
il Maccabi Haifa,19,4.0,6,22,12,54.5,5.5,3.0,0.27,0.5,17.1,0,0,0,2.0,2.0,0.09,4.0,4.0
il Maccabi Tel Aviv,24,8.3,19,95,43,45.3,11.4,5.16,0.19,0.42,17.9,3,1,1,10.5,9.7,0.1,8.5,8.3
no Molde,18,4.0,8,36,15,41.7,9.0,3.75,0.22,0.53,18.1,1,0,0,4.6,4.6,0.13,3.4,3.4
dk Nordsjælland,23,6.0,16,78,35,44.9,13.0,5.83,0.18,0.4,15.6,4,2,2,12.6,11.1,0.15,3.4,2.9
si Olimpija,21,6.0,4,75,24,32.0,12.5,4.0,0.05,0.17,21.6,3,0,0,5.1,5.1,0.07,-1.1,-1.1
gr Olympiacos,22,10.0,19,120,44,36.7,12.0,4.4,0.14,0.39,18.1,2,2,2,11.9,10.4,0.09,7.1,6.6
gr PAOK,22,10.0,19,124,44,35.5,12.4,4.4,0.14,0.39,16.1,5,2,2,16.9,15.3,0.13,2.1,1.7
ch Servette FC,17,4.3,1,65,19,29.2,15.0,4.38,0.02,0.05,21.5,4,0,0,4.1,4.1,0.06,-3.1,-3.1
sk Slovan Bratislava,22,8.0,9,103,29,28.2,12.87,3.62,0.08,0.28,17.4,3,1,2,10.7,9.5,0.09,-1.7,-1.5
sk Spartak Trnava,23,6.0,3,54,18,33.3,9.0,3.0,0.06,0.17,20.4,3,0,0,3.9,3.9,0.07,-0.9,-0.9
at Sturm Graz,18,4.0,6,64,19,29.7,16.0,4.75,0.08,0.26,18.3,4,1,1,6.1,5.3,0.09,-0.1,-0.3
be Union SG,20,4.0,5,46,15,32.6,11.5,3.75,0.11,0.33,15.4,1,0,0,5.1,5.1,0.11,-0.1,-0.1
cz Viktoria Plzeň,26,10.7,9,113,29,25.7,10.59,2.72,0.06,0.24,17.3,6,2,2,12.1,10.8,0.1,-3.1,-3.8
ua Zorya Luhansk,23,6.0,9,86,37,43.0,14.33,6.17,0.1,0.24,19.6,2,0,0,7.0,7.0,0.08,2.0,2.0
ba Zrinjski Mostar,21,6.0,6,34,13,38.2,5.67,2.17,0.18,0.46,17.1,1,0,0,3.8,3.8,0.11,2.2,2.2
