Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 Age,Unnamed: 3_level_0 Poss,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG
sct Aberdeen,21,26.0,33.5,6,66,540,6.0,10,7,17,10,0,0,6,0,6.1,6.1,5.3,11.4,48,130,1.67,1.17,2.83,1.67,2.83,1.02,0.88,1.9,1.02,1.9
nl Ajax,19,22.8,53.0,4,44,390,4.3,4,2,6,3,1,1,9,3,5.1,4.3,4.1,8.4,38,155,0.92,0.46,1.38,0.69,1.15,1.18,0.94,2.12,1.0,1.94
kz Astana FK,20,29.9,39.0,6,66,540,6.0,4,4,8,4,0,1,20,1,4.5,3.7,3.0,6.7,77,168,0.67,0.67,1.33,0.67,1.33,0.75,0.49,1.25,0.62,1.11
eng Aston Villa,29,26.7,58.6,12,132,1110,12.3,21,15,36,21,0,1,31,1,14.4,13.6,9.3,22.9,230,494,1.7,1.22,2.92,1.7,2.92,1.17,0.75,1.92,1.1,1.85
nl AZ Alkmaar,23,24.7,55.0,6,66,540,6.0,7,5,12,6,1,1,6,2,5.6,4.8,4.2,8.9,101,255,1.17,0.83,2.0,1.0,1.83,0.93,0.7,1.62,0.8,1.49
tr Beşiktaş,28,28.0,50.2,6,66,540,6.0,6,3,9,6,0,0,15,3,5.1,5.1,3.8,8.9,105,235,1.0,0.5,1.5,1.0,1.5,0.85,0.63,1.48,0.85,1.48
es Betis,17,26.1,61.0,2,22,180,2.0,1,1,2,1,0,0,5,0,1.7,1.7,1.4,3.1,24,93,0.5,0.5,1.0,0.5,1.0,0.85,0.68,1.53,0.85,1.53
no Bodø/Glimt,26,26.2,49.3,8,88,750,8.3,14,11,25,13,1,1,18,2,13.6,12.8,10.8,23.6,193,362,1.68,1.32,3.0,1.56,2.88,1.63,1.3,2.93,1.54,2.83
is Breiðablik,18,28.0,48.5,6,66,540,6.0,5,3,8,5,0,1,12,1,8.7,7.9,4.9,12.8,119,268,0.83,0.5,1.33,0.83,1.33,1.44,0.81,2.26,1.31,2.13
be Club Brugge,25,25.4,50.6,12,132,1080,12.0,25,21,46,22,3,5,32,2,21.6,17.7,15.9,33.6,221,487,2.08,1.75,3.83,1.83,3.58,1.8,1.33,3.13,1.47,2.8
rs Čukarički,25,25.1,35.3,6,66,540,6.0,2,2,4,2,0,0,21,2,3.1,3.1,2.5,5.6,55,155,0.33,0.33,0.67,0.33,0.67,0.52,0.42,0.94,0.52,0.94
hr Dinamo Zagreb,28,25.7,54.5,10,110,900,10.0,15,5,20,11,4,4,20,0,13.4,10.3,7.0,17.3,215,387,1.5,0.5,2.0,1.1,1.6,1.34,0.7,2.04,1.03,1.73
de Eint Frankfurt,27,25.1,61.1,8,88,720,8.0,14,9,23,12,2,2,16,2,13.5,12.0,9.2,21.2,163,383,1.75,1.13,2.87,1.5,2.62,1.69,1.15,2.84,1.5,2.65
tr Fenerbahçe,27,27.5,59.3,10,110,930,10.3,18,13,31,16,2,3,18,0,15.4,13.0,9.3,22.4,194,469,1.74,1.26,3.0,1.55,2.81,1.49,0.9,2.39,1.26,2.16
hu Ferencváros,26,27.4,51.0,8,88,720,8.0,9,6,15,8,1,1,18,0,10.1,9.3,6.6,15.9,131,263,1.13,0.75,1.87,1.0,1.75,1.27,0.82,2.09,1.17,1.99
it Fiorentina,28,26.6,60.8,13,143,1230,13.7,25,16,41,22,3,3,25,0,24.1,21.7,18.2,39.9,285,674,1.83,1.17,3.0,1.61,2.78,1.76,1.34,3.1,1.59,2.92
be Genk,21,24.2,51.8,6,66,540,6.0,8,5,13,7,1,2,16,2,9.9,8.3,7.0,15.3,106,264,1.33,0.83,2.17,1.17,2.0,1.65,1.17,2.82,1.39,2.56
be Gent,26,26.1,58.8,8,88,720,8.0,15,11,26,13,2,2,11,0,15.5,13.9,10.9,24.8,172,450,1.87,1.37,3.25,1.62,3.0,1.94,1.36,3.29,1.74,3.1
fi HJK,24,27.3,44.8,6,66,540,6.0,7,5,12,5,2,2,8,0,5.9,4.4,3.9,8.2,76,171,1.17,0.83,2.0,0.83,1.67,0.99,0.64,1.63,0.73,1.37
xk KF Ballkani Therandë,19,27.8,53.7,6,66,540,6.0,3,2,5,3,0,0,14,0,4.0,4.0,3.0,7.0,100,199,0.5,0.33,0.83,0.5,0.83,0.67,0.49,1.16,0.67,1.16
fo KÍ,19,29.9,39.7,6,66,540,6.0,5,5,10,5,0,0,18,3,6.1,6.1,5.1,11.2,48,123,0.83,0.83,1.67,0.83,1.67,1.01,0.85,1.86,1.01,1.86
pl Legia Warsaw,24,27.4,46.8,8,88,720,8.0,11,8,19,10,1,1,18,0,8.5,7.7,6.1,13.8,118,307,1.37,1.0,2.37,1.25,2.25,1.06,0.77,1.83,0.96,1.73
fr Lille,28,25.1,62.1,10,110,930,10.3,17,10,27,13,4,4,14,0,20.2,17.0,11.8,28.8,228,546,1.65,0.97,2.61,1.26,2.23,1.95,1.14,3.09,1.65,2.79
bg Ludogorets,22,27.3,50.5,8,88,720,8.0,10,8,18,9,1,2,25,0,11.5,9.9,7.7,17.6,148,299,1.25,1.0,2.25,1.13,2.12,1.43,0.96,2.4,1.24,2.21
