Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Notes
1,eng Chelsea,6,6,0,0,26,5,21,18,17.7,5.5,12.2,2.04,→ Round of 16
2,pt Vitória,6,4,2,0,13,6,7,14,14.9,5.2,9.7,1.62,→ Round of 16
3,it Fiorentina,6,4,1,1,18,7,11,13,15.0,6.5,8.5,1.42,→ Round of 16
4,at Rapid Wien,6,4,1,1,11,5,6,13,11.1,5.2,5.8,0.97,→ Round of 16
5,se Djurgården,6,4,1,1,11,7,4,13,6.0,4.6,1.4,0.24,→ Round of 16
6,ch Lugano,6,4,1,1,11,7,4,13,11.3,7.8,3.5,0.58,→ Round of 16
7,pl Legia Warsaw,6,4,0,2,13,5,8,12,10.9,6.1,4.7,0.79,→ Round of 16
8,be Cercle Brugge,6,3,2,1,14,7,7,11,9.7,10.2,-0.5,-0.08,→ Round of 16
9,pl Jagiellonia,6,3,2,1,10,5,5,11,9.5,5.7,3.8,0.63,→ Knockout phase play-offs
10,ie Shamrock Rov,6,3,2,1,12,9,3,11,7.6,7.8,-0.3,-0.05,→ Knockout phase play-offs
11,cy APOEL,6,3,2,1,8,5,3,11,7.4,5.0,2.4,0.4,→ Knockout phase play-offs
12,cy Pafos FC,6,3,1,2,11,7,4,10,10.0,7.2,2.8,0.47,→ Knockout phase play-offs
13,gr Panathinaikos,6,3,1,2,10,7,3,10,11.8,6.3,5.6,0.93,→ Knockout phase play-offs
14,si Olimpija,6,3,1,2,7,6,1,10,7.0,6.8,0.2,0.04,→ Knockout phase play-offs
15,es Betis,6,3,1,2,6,5,1,10,8.2,6.8,1.3,0.22,→ Knockout phase play-offs
16,de Heidenheim,6,3,1,2,7,7,0,10,9.3,9.3,0.0,-0.01,→ Knockout phase play-offs
17,be Gent,6,3,0,3,8,8,0,9,10.3,6.6,3.7,0.62,→ Knockout phase play-offs
18,dk FC Copenhagen,6,2,2,2,8,9,-1,8,10.5,7.2,3.3,0.55,→ Knockout phase play-offs
19,is KV,6,2,2,2,7,8,-1,8,7.9,7.3,0.6,0.09,→ Knockout phase play-offs
20,ba Borac Banja Luka,6,2,2,2,4,7,-3,8,3.3,7.5,-4.2,-0.69,→ Knockout phase play-offs
21,si NK Celje,6,2,1,3,13,13,0,7,13.0,9.8,3.2,0.54,→ Knockout phase play-offs
22,cy AC Omonia,6,2,1,3,7,7,0,7,8.1,7.0,1.1,0.19,→ Knockout phase play-offs
23,no Molde,6,2,1,3,10,11,-1,7,7.9,7.2,0.8,0.13,→ Knockout phase play-offs
24,rs TSC,6,2,1,3,10,13,-3,7,11.2,14.9,-3.7,-0.62,→ Knockout phase play-offs
25,sct Hearts,6,2,1,3,6,9,-3,7,7.3,9.0,-1.7,-0.29,
26,tr Başakşehir,6,1,3,2,9,12,-3,6,9.4,11.4,-2.0,-0.33,
27,cz Mladá Boleslav,6,2,0,4,7,10,-3,6,8.0,9.6,-1.6,-0.27,
28,kz Astana FK,6,1,2,3,4,8,-4,5,4.5,14.0,-9.5,-1.58,
29,ch St. Gallen,6,1,2,3,10,18,-8,5,9.0,14.1,-5.1,-0.85,
30,fi HJK,6,1,1,4,3,9,-6,4,5.4,11.0,-5.6,-0.93,
31,am FC Noah,6,1,1,4,6,16,-10,4,7.3,14.1,-6.8,-1.14,
32,wls The New Saints,6,1,0,5,5,10,-5,3,5.3,14.6,-9.3,-1.55,
33,by Dinamo Minsk,6,1,0,5,4,13,-9,3,6.1,10.6,-4.5,-0.75,
34,nir Larne FC,6,1,0,5,3,12,-9,3,2.6,10.0,-7.4,-1.23,
35,at LASK,6,0,3,3,4,14,-10,3,4.8,10.3,-5.5,-0.92,
36,md Petrocub,6,0,2,4,4,13,-9,2,4.4,11.5,-7.1,-1.18,
