Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
ar Argentina,24,6.3,142,22.42,97,14,6,11,11,3,16,2.53,12,1,1,2,0,0
bo Bolivia,22,3.0,25,8.33,16,3,2,0,3,1,2,0.67,2,0,0,0,0,0
br Brazil,20,4.0,86,21.5,55,10,6,5,8,2,6,1.5,2,0,0,3,1,0
ca Canada,22,6.0,104,17.33,84,8,2,6,3,1,5,0.83,2,1,0,2,0,0
cl Chile,20,3.0,38,12.67,27,3,4,2,2,0,0,0.0,0,0,0,0,0,0
co Colombia,24,6.3,140,22.11,84,24,9,6,14,3,23,3.63,10,7,0,0,6,0
cr Costa Rica,20,3.0,9,3.0,6,1,1,1,0,0,4,1.33,3,0,1,0,0,0
ec Ecuador,18,4.0,76,19.0,37,9,9,8,10,3,7,1.75,4,0,1,1,1,0
jm Jamaica,20,3.0,46,15.33,32,5,4,2,2,1,1,0.33,0,0,0,1,0,0
mx Mexico,20,3.0,96,32.0,67,10,6,11,1,1,2,0.67,2,0,0,0,0,0
pa Panama,21,4.0,88,22.0,58,5,11,4,9,1,11,2.75,6,0,4,1,0,0
py Paraguay,20,3.0,70,23.33,39,9,6,6,6,4,6,2.0,6,0,0,0,0,0
pe Peru,24,3.0,29,9.67,16,6,1,3,3,0,0,0.0,0,0,0,0,0,0
us United States,21,3.0,58,19.33,40,9,2,3,3,1,6,2.0,5,1,0,0,0,0
uy Uruguay,21,6.0,148,24.67,99,16,9,13,9,2,19,3.17,11,3,0,3,2,0
ve Venezuela,22,4.0,93,23.25,72,7,6,5,1,2,12,3.0,9,1,0,1,1,0
