Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 17_level_0 Ast,Unnamed: 18_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 21_level_0 KP,Unnamed: 22_level_0 1/3,Unnamed: 23_level_0 PPA,Unnamed: 24_level_0 CrsPA,Unnamed: 25_level_0 PrgP
ar Argentina,24,6.3,2846,3317,85.8,51202,16842,1266,1403,90.2,1308,1437,91.0,244,380,64.2,8,10.0,6.1,-2.0,66,173,37,8,185
bo Bolivia,22,3.0,977,1222,80.0,18051,5814,441,487,90.6,425,495,85.9,104,205,50.7,1,0.6,0.8,0.4,11,51,6,3,40
br Brazil,20,4.0,1781,2127,83.7,31107,10461,779,864,90.2,768,862,89.1,177,270,65.6,1,3.1,2.8,-2.1,31,140,23,4,162
ca Canada,22,6.0,1888,2434,77.6,31246,12346,949,1085,87.5,759,885,85.8,134,325,41.2,2,6.0,6.4,-4.0,44,149,54,8,226
cl Chile,20,3.0,992,1297,76.5,18800,7118,384,438,87.7,444,512,86.7,133,239,55.6,0,1.4,1.7,-1.4,17,52,15,3,81
co Colombia,24,6.3,2399,2925,82.0,42397,15521,1090,1183,92.1,969,1100,88.1,259,468,55.3,9,6.5,6.2,2.5,62,163,50,18,178
cr Costa Rica,20,3.0,631,879,71.8,12435,5057,272,316,86.1,263,315,83.5,88,207,42.5,2,0.5,0.4,1.5,5,31,4,2,40
ec Ecuador,18,4.0,956,1310,73.0,18312,6810,375,437,85.8,422,525,80.4,131,276,47.5,2,3.0,3.0,-1.0,31,83,29,9,91
jm Jamaica,20,3.0,852,1136,75.0,17056,6817,299,360,83.1,431,504,85.5,112,236,47.5,0,1.0,1.6,-1.0,19,53,17,4,62
mx Mexico,20,3.0,1225,1554,78.8,21312,7564,540,603,89.6,525,610,86.1,111,215,51.6,1,2.6,3.9,-1.6,35,110,43,9,159
pa Panama,21,4.0,1427,1782,80.1,26754,9402,586,661,88.7,647,735,88.0,167,300,55.7,4,1.9,2.9,2.1,31,126,41,9,153
py Paraguay,20,3.0,999,1275,78.4,18019,6580,434,495,87.7,419,484,86.6,116,211,55.0,2,2.4,1.8,-0.4,32,84,10,5,104
pe Peru,24,3.0,664,961,69.1,12397,5588,306,361,84.8,272,362,75.1,75,178,42.1,0,0.9,1.0,-0.9,12,54,12,6,72
us United States,21,3.0,858,1165,73.6,16525,6010,339,394,86.0,405,487,83.2,107,234,45.7,3,3.4,2.8,-0.4,26,66,25,5,87
uy Uruguay,21,6.0,1883,2440,77.2,36481,12929,747,864,86.5,820,973,84.3,268,448,59.8,9,7.3,7.3,1.7,66,189,59,20,237
ve Venezuela,22,4.0,1389,1800,77.2,27353,11061,486,588,82.7,722,833,86.7,163,304,53.6,5,3.6,3.3,1.4,38,143,39,11,152
