Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
ar Argentina,24,6.3,9,82,34,41.5,12.95,5.37,0.11,0.26,17.3,2,0,1,11.8,11.0,0.14,-2.8,-2.0
bo Bolivia,22,3.0,1,17,7,41.2,5.67,2.33,0.06,0.14,26.0,1,0,0,1.0,1.0,0.06,0.0,0.0
br Brazil,20,4.0,5,48,14,29.2,12.0,3.5,0.08,0.29,19.3,6,1,2,6.3,4.8,0.1,-1.3,-0.8
ca Canada,22,6.0,4,63,19,30.2,10.5,3.17,0.06,0.21,16.0,2,0,0,8.3,8.3,0.13,-4.3,-4.3
cl Chile,20,3.0,0,22,8,36.4,7.33,2.67,0.0,0.0,17.8,1,0,0,1.6,1.6,0.08,-1.6,-1.6
co Colombia,24,6.3,12,75,24,32.0,11.84,3.79,0.12,0.38,18.6,3,3,3,9.5,7.1,0.1,2.5,1.9
cr Costa Rica,20,3.0,2,9,2,22.2,3.0,0.67,0.22,1.0,23.6,0,0,0,0.6,0.6,0.06,1.4,1.4
ec Ecuador,18,4.0,5,49,12,24.5,12.25,3.0,0.08,0.33,20.2,5,1,2,5.4,3.8,0.08,-0.4,0.2
jm Jamaica,20,3.0,1,28,8,28.6,9.33,2.67,0.04,0.13,20.0,1,0,0,1.8,1.8,0.07,-0.8,-0.8
mx Mexico,20,3.0,1,57,17,29.8,19.0,5.67,0.02,0.06,19.2,1,0,1,4.7,4.0,0.07,-3.7,-3.0
pa Panama,21,4.0,6,50,16,32.0,12.5,4.0,0.12,0.38,20.5,3,0,0,3.1,3.1,0.06,2.9,2.9
py Paraguay,20,3.0,3,43,15,34.9,14.33,5.0,0.07,0.2,22.4,3,0,0,2.8,2.8,0.07,0.2,0.2
pe Peru,24,3.0,0,22,9,40.9,7.33,3.0,0.0,0.0,23.2,1,0,0,1.7,1.7,0.08,-1.7,-1.7
us United States,21,3.0,3,34,13,38.2,11.33,4.33,0.09,0.23,15.4,0,0,0,4.1,4.1,0.13,-1.1,-1.1
uy Uruguay,21,6.0,11,85,29,34.1,14.17,4.83,0.13,0.38,17.3,3,0,0,9.2,9.2,0.11,1.8,1.8
ve Venezuela,22,4.0,7,55,12,21.8,13.75,3.0,0.11,0.5,18.7,0,1,1,5.6,4.8,0.09,1.4,1.2
