Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 Age,Unnamed: 3_level_0 Poss,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG
ar Argentina,24,28.6,57.7,6,66,570,6.3,9,8,17,9,0,1,8,0,11.8,11.0,10.0,21.0,87,185,1.42,1.26,2.68,1.42,2.68,1.87,1.57,3.44,1.74,3.31
bo Bolivia,22,26.1,43.7,3,33,270,3.0,1,1,2,1,0,0,7,0,1.0,1.0,0.6,1.5,22,40,0.33,0.33,0.67,0.33,0.67,0.32,0.2,0.52,0.32,0.52
br Brazil,20,26.7,60.0,4,44,360,4.0,5,1,6,4,1,2,9,0,6.3,4.8,3.1,8.0,72,162,1.25,0.25,1.5,1.0,1.25,1.59,0.78,2.37,1.21,1.99
ca Canada,22,25.8,47.5,6,66,540,6.0,4,2,6,4,0,0,17,0,8.3,8.3,6.0,14.3,111,226,0.67,0.33,1.0,0.67,1.0,1.39,0.99,2.39,1.39,2.39
cl Chile,20,30.3,49.0,3,33,270,3.0,0,0,0,0,0,0,7,1,1.6,1.6,1.4,3.1,23,81,0.0,0.0,0.0,0.0,0.0,0.55,0.48,1.03,0.55,1.03
co Colombia,24,28.9,54.0,6,66,570,6.3,12,9,21,9,3,3,13,1,9.5,7.1,6.5,13.6,73,178,1.89,1.42,3.32,1.42,2.84,1.49,1.03,2.52,1.12,2.15
cr Costa Rica,20,25.0,32.0,3,33,270,3.0,2,2,4,2,0,0,6,0,0.6,0.6,0.5,1.1,6,40,0.67,0.67,1.33,0.67,1.33,0.19,0.16,0.36,0.19,0.36
ec Ecuador,18,25.2,42.5,4,44,360,4.0,5,2,7,4,1,2,5,1,5.4,3.8,3.0,6.9,45,91,1.25,0.5,1.75,1.0,1.5,1.35,0.76,2.11,0.96,1.72
jm Jamaica,20,27.4,47.3,3,33,270,3.0,1,0,1,1,0,0,5,0,1.8,1.8,1.0,2.8,24,62,0.33,0.0,0.33,0.33,0.33,0.6,0.33,0.93,0.6,0.93
mx Mexico,20,26.9,60.3,3,33,270,3.0,1,1,2,1,0,1,7,0,4.7,4.0,2.6,6.6,53,159,0.33,0.33,0.67,0.33,0.67,1.57,0.86,2.44,1.33,2.2
pa Panama,21,27.4,53.5,4,44,360,4.0,6,4,10,6,0,0,8,1,3.1,3.1,1.9,5.0,56,153,1.5,1.0,2.5,1.5,2.5,0.76,0.49,1.25,0.76,1.25
py Paraguay,20,27.5,48.7,3,33,270,3.0,3,2,5,3,0,0,7,1,2.8,2.8,2.4,5.2,40,104,1.0,0.67,1.67,1.0,1.67,0.94,0.78,1.72,0.94,1.72
pe Peru,24,30.0,37.7,3,33,270,3.0,0,0,0,0,0,0,6,1,1.7,1.7,0.9,2.5,26,72,0.0,0.0,0.0,0.0,0.0,0.56,0.28,0.85,0.56,0.85
us United States,21,25.4,46.3,3,33,270,3.0,3,3,6,3,0,0,5,1,4.1,4.1,3.4,7.5,33,87,1.0,1.0,2.0,1.0,2.0,1.36,1.14,2.5,1.36,2.5
uy Uruguay,21,26.1,52.3,6,66,540,6.0,11,9,20,11,0,0,8,1,9.2,9.2,7.3,16.4,103,237,1.83,1.5,3.33,1.83,3.33,1.53,1.21,2.74,1.53,2.74
ve Venezuela,22,28.3,53.0,4,44,360,4.0,7,5,12,6,1,1,6,0,5.6,4.8,3.6,8.5,68,152,1.75,1.25,3.0,1.5,2.75,1.4,0.91,2.31,1.21,2.12
