Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 15_level_0 Int,Unnamed: 16_level_0 Tkl+Int,Unnamed: 17_level_0 Clr,Unnamed: 18_level_0 Err
al Albania,19,3.0,36,21,18,12,6,21,52,40.4,31,35,15,20,35,71,70,0
at Austria,19,4.0,73,39,27,33,13,37,74,50.0,37,51,16,35,34,107,71,1
be Belgium,18,4.0,53,33,22,22,9,15,35,42.9,20,39,10,29,18,71,68,5
hr Croatia,19,3.0,46,34,23,17,6,17,37,45.9,20,40,16,24,37,83,41,1
cz Czechia,21,3.0,47,32,27,12,8,29,60,48.3,31,32,15,17,16,63,71,1
dk Denmark,19,4.0,53,31,25,20,8,33,59,55.9,26,31,5,26,30,83,67,3
eng England,21,7.7,90,59,37,36,17,30,61,49.2,31,68,21,47,43,133,114,3
fr France,18,6.3,101,65,45,33,23,46,78,59.0,32,69,16,53,32,133,129,5
ge Georgia,20,4.0,83,52,58,20,5,52,83,62.7,31,53,33,20,24,107,137,6
de Germany,23,5.3,75,49,36,27,12,38,67,56.7,29,52,12,40,32,107,91,2
hu Hungary,20,3.0,49,26,29,14,6,20,36,55.6,16,32,14,18,16,65,71,2
it Italy,21,4.0,66,35,37,22,7,32,62,51.6,30,35,13,22,33,99,55,3
nl Netherlands,21,6.0,75,50,39,27,9,34,69,49.3,35,54,17,37,37,112,110,1
pl Poland,22,3.0,41,24,28,9,4,19,52,36.5,33,42,15,27,23,64,84,0
pt Portugal,24,5.7,83,51,36,34,13,37,81,45.7,44,53,14,39,41,124,88,3
ro Romania,21,4.0,48,24,31,13,4,24,54,44.4,30,43,19,24,25,73,126,1
sct Scotland,18,3.0,35,18,21,13,1,23,37,62.2,14,25,8,17,14,49,69,2
rs Serbia,19,3.0,44,27,21,17,6,29,47,61.7,18,21,6,15,18,62,57,1
sk Slovakia,20,4.3,48,29,23,22,3,24,58,41.4,34,44,18,26,31,79,98,1
si Slovenia,19,4.3,84,52,60,18,6,44,80,55.0,36,48,23,25,32,116,128,0
es Spain,25,7.3,107,68,40,42,25,47,98,48.0,51,62,21,41,41,148,138,5
ch Switzerland,20,5.3,67,43,31,23,13,23,57,40.4,34,51,20,31,31,98,127,1
tr Türkiye,23,5.0,91,51,49,29,13,58,94,61.7,36,54,19,35,43,134,128,3
ua Ukraine,23,3.0,54,31,30,18,6,27,56,48.2,29,34,11,23,24,78,47,4
