Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
al Albania,19,3.0,56,18.67,41,4,1,4,4,2,4,1.33,4,0,0,0,0,0
at Austria,19,4.0,86,21.5,63,10,7,3,3,0,11,2.75,7,0,2,1,1,0
be Belgium,18,4.0,96,24.0,73,8,8,4,2,1,2,0.5,2,0,0,0,0,0
hr Croatia,19,3.0,78,26.0,60,1,7,8,1,1,3,1.0,2,0,0,1,0,0
cz Czechia,21,3.0,72,24.0,51,8,2,9,1,1,4,1.33,1,0,0,3,0,0
dk Denmark,19,4.0,89,22.25,61,16,2,3,4,3,3,0.75,2,1,0,0,0,0
eng England,21,7.7,138,18.0,100,11,6,11,8,2,16,2.09,12,1,0,2,1,0
fr France,18,6.3,181,28.58,141,10,17,7,5,1,4,0.63,3,0,0,0,1,0
ge Georgia,20,4.0,53,13.25,42,2,3,2,3,1,5,1.25,3,0,0,0,2,0
de Germany,23,5.3,182,34.12,153,12,5,5,7,0,20,3.75,16,0,2,1,1,0
hu Hungary,20,3.0,52,17.33,33,7,0,4,5,3,4,1.33,4,0,0,0,0,0
it Italy,21,4.0,78,19.5,61,5,3,5,2,2,5,1.25,4,0,0,1,0,0
nl Netherlands,21,6.0,148,24.67,106,13,9,9,5,6,16,2.67,12,0,2,0,0,2
pl Poland,22,3.0,66,22.0,45,7,4,4,4,2,5,1.67,2,1,0,1,1,0
pt Portugal,24,5.7,163,28.76,120,10,11,7,11,4,6,1.06,5,0,1,0,0,0
ro Romania,21,4.0,61,15.25,45,5,4,2,4,1,7,1.75,5,0,1,0,1,0
sct Scotland,18,3.0,32,10.67,17,7,0,2,5,1,2,0.67,2,0,0,0,0,0
rs Serbia,19,3.0,47,15.67,31,5,5,3,3,0,2,0.67,0,1,0,1,0,0
sk Slovakia,20,4.3,92,21.23,73,8,2,4,5,0,7,1.62,5,1,0,1,0,0
si Slovenia,19,4.3,57,13.15,41,5,3,5,2,1,3,0.69,2,0,0,1,0,0
es Spain,25,7.3,228,31.09,196,11,13,3,4,1,28,3.82,23,0,5,0,0,0
ch Switzerland,20,5.3,94,17.62,82,4,2,4,2,0,12,2.25,12,0,0,0,0,0
tr Türkiye,23,5.0,130,26.0,95,9,8,7,8,3,12,2.4,8,1,0,1,0,2
ua Ukraine,23,3.0,76,25.33,61,4,4,2,4,1,4,1.33,4,0,0,0,0,0
