Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
al Albania,1,3,3,270,3.0,5,1.67,17,13,70.6,0,1,2,0,0.0,0,0,0,0,
at Austria,1,4,4,360,4.0,6,1.5,11,6,45.5,2,0,2,0,0.0,0,0,0,0,
be Belgium,1,4,4,360,4.0,2,0.5,14,13,85.7,1,1,2,2,50.0,0,0,0,0,
hr Croatia,1,3,3,270,3.0,6,2.0,15,9,60.0,0,2,1,0,0.0,0,0,0,0,
cz Czechia,2,3,3,270,3.0,5,1.67,14,10,71.4,0,1,2,0,0.0,1,1,0,0,0.0
dk Denmark,1,4,4,360,4.0,4,1.0,16,12,81.3,0,3,1,1,25.0,1,1,0,0,0.0
eng England,1,7,7,690,7.7,6,0.78,23,17,73.9,3,3,1,2,28.6,0,0,0,0,
fr France,1,6,6,570,6.3,3,0.47,18,15,88.9,2,3,1,4,66.7,1,1,0,0,0.0
ge Georgia,1,4,4,360,4.0,8,2.0,38,30,78.9,1,1,2,1,25.0,0,0,0,0,
de Germany,1,5,5,480,5.3,4,0.75,14,11,71.4,3,1,1,2,40.0,0,0,0,0,
hu Hungary,1,3,3,270,3.0,5,1.67,14,9,64.3,1,0,2,1,33.3,0,0,0,0,
it Italy,1,4,4,360,4.0,5,1.25,17,12,70.6,1,1,2,0,0.0,1,0,1,0,100.0
nl Netherlands,1,6,6,540,6.0,7,1.17,23,17,73.9,3,1,2,2,33.3,1,1,0,0,0.0
pl Poland,2,3,3,270,3.0,6,2.0,21,15,81.0,0,1,2,0,0.0,2,2,0,0,0.0
pt Portugal,1,5,5,510,5.7,3,0.53,14,11,85.7,2,2,1,3,60.0,1,1,0,0,0.0
ro Romania,1,4,4,360,4.0,6,1.5,21,15,71.4,1,1,2,1,25.0,0,0,0,0,
sct Scotland,1,3,3,270,3.0,7,2.33,19,12,68.4,0,1,2,0,0.0,1,1,0,0,0.0
rs Serbia,1,3,3,270,3.0,2,0.67,10,8,80.0,0,2,1,1,33.3,0,0,0,0,
sk Slovakia,1,4,4,390,4.3,5,1.15,16,11,75.0,1,1,2,1,25.0,1,1,0,0,0.0
si Slovenia,1,4,4,390,4.3,2,0.46,17,14,88.2,0,4,0,2,50.0,1,0,1,0,100.0
es Spain,2,7,7,660,7.3,4,0.55,21,17,81.0,7,0,0,3,42.9,1,0,1,0,100.0
ch Switzerland,1,5,5,480,5.3,4,0.75,12,8,66.7,2,3,0,1,20.0,0,0,0,0,
tr Türkiye,2,5,5,450,5.0,8,1.6,22,16,63.6,3,0,2,0,0.0,0,0,0,0,
ua Ukraine,2,3,3,270,3.0,4,1.33,14,10,71.4,1,1,1,1,33.3,0,0,0,0,
