Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 17_level_0 Ast,Unnamed: 18_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 21_level_0 KP,Unnamed: 22_level_0 1/3,Unnamed: 23_level_0 PPA,Unnamed: 24_level_0 CrsPA,Unnamed: 25_level_0 PrgP
al Albania,19,3.0,953,1185,80.4,16789,6195,451,515,87.6,391,433,90.3,94,181,51.9,1,1.6,1.3,-0.6,24,41,13,4,61
at Austria,19,4.0,1663,2072,80.3,29074,9947,741,829,89.4,717,828,86.6,159,285,55.8,5,5.3,5.3,-0.3,38,157,37,13,176
be Belgium,18,4.0,1878,2214,84.8,32213,10115,867,951,91.2,831,928,89.5,142,243,58.4,1,3.1,4.0,-2.1,40,115,28,1,132
hr Croatia,19,3.0,1547,1779,87.0,25202,6943,797,855,93.2,621,689,90.1,100,171,58.5,1,3.5,4.7,-2.5,32,124,36,13,124
cz Czechia,21,3.0,822,1109,74.1,15100,6018,375,425,88.2,339,415,81.7,93,218,42.7,2,3.2,3.2,-1.2,30,91,18,9,80
dk Denmark,19,4.0,1977,2353,84.0,30815,10446,1098,1199,91.6,676,777,87.0,136,251,54.2,2,3.7,4.1,-1.7,46,123,25,6,164
eng England,21,7.7,3924,4503,87.1,67154,19802,1865,1998,93.3,1616,1766,91.5,346,543,63.7,5,3.6,5.9,1.4,53,281,60,14,312
fr France,18,6.3,3010,3439,87.5,50012,15933,1512,1637,92.4,1222,1326,92.2,224,341,65.7,1,6.8,7.7,-5.8,83,294,61,15,340
ge Georgia,20,4.0,1110,1407,78.9,18729,7438,534,600,89.0,417,482,86.5,100,232,43.1,2,2.6,1.5,-0.6,23,54,18,3,93
de Germany,23,5.3,2992,3400,88.0,47263,15919,1586,1692,93.7,1130,1243,90.9,194,317,61.2,8,7.3,9.7,0.7,79,263,72,20,299
hu Hungary,20,3.0,939,1237,75.9,17123,6599,407,481,84.6,407,497,81.9,103,201,51.2,2,2.8,2.1,-0.8,20,48,14,5,85
it Italy,21,4.0,2151,2493,86.3,33654,9439,1116,1197,93.2,827,939,88.1,141,229,61.6,2,2.7,3.9,-0.7,32,143,38,10,150
nl Netherlands,21,6.0,2652,3107,85.4,44735,15409,1222,1338,91.3,1170,1298,90.1,198,330,60.0,7,6.9,7.0,0.1,67,221,50,12,251
pl Poland,22,3.0,954,1200,79.5,14801,6072,512,568,90.1,358,420,85.2,57,137,41.6,1,2.4,2.0,-1.4,25,50,12,5,70
pt Portugal,24,5.7,3402,3885,87.6,57028,16751,1689,1824,92.6,1491,1638,91.0,205,342,59.9,1,6.4,7.1,-5.4,61,307,57,17,340
ro Romania,21,4.0,973,1323,73.5,17475,6984,475,565,84.1,358,436,82.1,119,260,45.8,2,1.8,2.3,0.2,22,58,17,6,76
sct Scotland,18,3.0,957,1248,76.7,17055,6306,431,491,87.8,403,479,84.1,90,191,47.1,1,0.8,1.9,0.2,14,43,11,5,53
rs Serbia,19,3.0,1383,1665,83.1,23725,7071,629,688,91.4,591,666,88.7,123,228,53.9,1,1.8,2.3,-0.8,18,88,25,13,108
sk Slovakia,20,4.3,1600,1990,80.4,26681,9162,793,873,90.8,636,735,86.5,114,263,43.3,3,3.7,3.9,-0.7,39,103,22,9,128
si Slovenia,19,4.3,977,1367,71.5,18820,7564,394,481,81.9,434,531,81.7,134,290,46.2,1,2.6,2.3,-1.6,26,81,13,5,85
es Spain,25,7.3,3776,4314,87.5,63020,19380,1822,1960,93.0,1576,1719,91.7,286,450,63.6,13,12.2,10.9,0.8,110,299,74,20,356
ch Switzerland,20,5.3,2140,2540,84.3,35747,11955,1088,1177,92.4,848,968,87.6,168,298,56.4,5,4.2,4.6,0.8,41,187,34,5,189
tr Türkiye,23,5.0,2019,2427,83.2,34283,11378,967,1047,92.4,833,966,86.2,165,318,51.9,6,6.0,4.5,0.0,53,157,32,8,175
ua Ukraine,23,3.0,1258,1499,83.9,22923,7601,521,573,90.9,625,700,89.3,104,185,56.2,2,2.5,3.1,-0.5,33,89,22,4,116
