Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
al Albania,19,3.0,3,33,12,36.4,11.0,4.0,0.09,0.25,19.5,1,0,0,2.4,2.4,0.07,0.6,0.6
at Austria,19,4.0,6,50,21,42.0,12.5,5.25,0.1,0.24,17.1,2,1,1,6.9,6.1,0.12,-0.9,-1.1
be Belgium,18,4.0,2,53,19,35.8,13.25,4.75,0.04,0.11,17.7,1,0,0,4.5,4.5,0.09,-2.5,-2.5
hr Croatia,19,3.0,2,42,16,38.1,14.0,5.33,0.05,0.13,16.4,0,0,2,5.7,4.0,0.11,-3.7,-2.0
cz Czechia,21,3.0,3,44,19,43.2,14.67,6.33,0.07,0.16,16.5,0,0,0,5.1,5.1,0.12,-2.1,-2.1
dk Denmark,19,4.0,2,53,16,30.2,13.25,4.0,0.04,0.13,17.7,1,0,0,4.3,4.3,0.08,-2.3,-2.3
eng England,21,7.7,8,75,21,28.0,9.78,2.74,0.09,0.33,18.8,3,1,1,6.0,5.3,0.07,2.0,1.7
fr France,18,6.3,2,95,23,24.2,15.0,3.63,0.01,0.04,17.8,2,1,1,9.0,8.2,0.09,-7.0,-7.2
ge Georgia,20,4.0,4,28,6,21.4,7.0,1.5,0.07,0.33,20.3,0,2,2,4.4,2.8,0.1,-0.4,-0.8
de Germany,23,5.3,11,93,32,34.4,17.44,6.0,0.1,0.28,18.3,3,2,2,9.7,8.2,0.09,1.3,0.8
hu Hungary,20,3.0,2,31,10,32.3,10.33,3.33,0.06,0.2,16.4,2,0,0,3.7,3.7,0.12,-1.7,-1.7
it Italy,21,4.0,3,44,10,22.7,11.0,2.5,0.07,0.3,16.6,2,0,0,3.3,3.3,0.08,-0.3,-0.3
nl Netherlands,21,6.0,9,81,22,27.2,13.5,3.67,0.11,0.41,16.4,2,0,0,8.0,8.0,0.1,1.0,1.0
pl Poland,22,3.0,3,36,12,33.3,12.0,4.0,0.06,0.17,20.0,2,1,1,4.1,3.3,0.09,-1.1,-1.3
pt Portugal,24,5.7,3,87,25,28.7,15.35,4.41,0.03,0.12,17.9,8,0,1,9.5,8.7,0.1,-6.5,-5.7
ro Romania,21,4.0,4,36,14,38.9,9.0,3.5,0.08,0.21,21.5,2,1,1,3.5,2.7,0.08,0.5,0.3
sct Scotland,18,3.0,1,17,3,17.6,5.67,1.0,0.06,0.33,16.1,0,0,0,0.9,0.9,0.06,0.1,0.1
rs Serbia,19,3.0,1,26,6,23.1,8.67,2.0,0.04,0.17,16.6,1,0,0,2.1,2.1,0.08,-1.1,-1.1
sk Slovakia,20,4.3,4,50,16,32.0,11.54,3.69,0.08,0.25,18.3,3,0,0,4.4,4.4,0.09,-0.4,-0.4
si Slovenia,19,4.3,2,36,9,25.0,8.31,2.08,0.06,0.22,20.7,1,0,0,3.2,3.2,0.09,-1.2,-1.2
es Spain,25,7.3,14,122,43,35.2,16.64,5.86,0.11,0.33,18.2,3,0,0,12.9,12.9,0.11,1.1,1.1
ch Switzerland,20,5.3,8,57,21,36.8,10.69,3.94,0.14,0.38,17.3,1,0,0,6.7,6.7,0.12,1.3,1.3
tr Türkiye,23,5.0,8,72,22,30.6,14.4,4.4,0.11,0.36,19.6,2,0,0,7.3,7.3,0.1,0.7,0.7
ua Ukraine,23,3.0,2,39,11,28.2,13.0,3.67,0.05,0.18,19.2,3,0,0,3.0,3.0,0.08,-1.0,-1.0
