Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 15_level_0 Int,Unnamed: 16_level_0 Tkl+Int,Unnamed: 17_level_0 Clr,Unnamed: 18_level_0 Err
cy AC Omonia,23,6.0,87,49,48,29,10,40,90,44.4,50,63,25,38,49,136,116,2
cy AÉK Lárnaka,21,6.0,71,35,38,25,8,29,71,40.8,42,67,18,49,69,140,131,1
nl Ajax,15,2.0,27,19,13,10,4,8,20,40.0,12,18,4,14,11,38,33,2
eng Arsenal,26,8.3,108,52,30,51,27,47,96,49.0,49,61,17,44,53,161,89,4
es Barcelona,17,2.0,36,25,18,9,9,19,31,61.3,12,35,9,26,14,50,22,0
es Betis,26,8.0,143,88,70,57,16,87,153,56.9,66,98,22,76,86,229,130,2
no Bodø/Glimt,20,6.0,81,53,39,31,11,33,72,45.8,39,50,17,33,45,126,91,0
pt Braga,23,6.0,78,38,33,29,16,40,85,47.1,45,64,18,46,44,122,100,2
ua Dynamo Kyiv,25,6.0,113,68,56,45,12,52,96,54.2,44,67,13,54,59,172,103,4
tr Fenerbahçe,24,8.0,148,93,64,56,28,74,130,56.9,56,58,8,50,69,217,89,2
hu Ferencváros,25,8.0,134,73,70,54,10,57,113,50.4,56,83,32,51,80,214,188,3
nl Feyenoord,22,10.3,148,82,63,52,33,78,153,51.0,75,110,33,77,93,241,161,4
de Freiburg,25,8.0,151,90,74,50,27,82,162,50.6,80,68,24,44,82,233,113,1
fi HJK,22,6.0,90,40,51,29,10,50,111,45.0,61,86,39,47,55,145,115,0
it Juventus,24,8.3,140,96,85,41,14,70,148,47.3,78,85,25,60,77,217,228,2
it Lazio,21,6.0,86,45,43,32,11,50,83,60.2,33,46,14,32,36,122,66,4
de Leverkusen,20,8.3,153,92,64,72,17,56,129,43.4,73,107,16,91,67,220,127,2
bg Ludogorets,20,6.0,87,50,42,29,16,46,89,51.7,43,61,16,45,68,155,88,1
se Malmö,24,6.0,82,48,40,35,7,44,83,53.0,39,53,16,37,45,127,129,1
eng Manchester Utd,26,12.0,224,121,117,84,23,102,223,45.7,121,161,33,128,100,324,183,7
dk Midtjylland,27,8.0,140,77,69,51,20,71,144,49.3,73,89,29,60,88,228,147,1
fr Monaco,25,8.3,126,82,55,56,15,62,150,41.3,88,96,13,83,109,235,83,3
fr Nantes,22,8.0,128,77,69,47,12,67,138,48.6,71,72,18,54,87,215,157,3
gr Olympiacos,29,6.0,91,51,54,28,9,55,105,52.4,50,61,16,45,65,156,137,3
nl PSV Eindhoven,29,8.0,155,85,92,50,13,78,151,51.7,73,93,30,63,57,212,135,1
az Qarabağ,20,6.0,80,46,38,31,11,38,74,51.4,36,54,15,39,53,133,95,2
at RB Salzburg,18,2.0,43,26,26,15,2,28,53,52.8,25,32,7,25,21,64,39,0
es Real Sociedad,29,8.0,120,72,51,50,19,60,129,46.5,69,91,16,75,70,190,74,3
rs Red Star,23,6.0,69,40,35,28,6,27,67,40.3,40,63,23,40,67,136,108,4
fr Rennes,26,8.3,128,68,57,59,12,57,102,55.9,45,89,23,66,71,199,116,1
it Roma,26,15.7,232,135,103,92,37,114,238,47.9,124,173,62,111,157,389,257,1
es Sevilla,22,9.7,189,108,83,84,22,95,200,47.5,105,112,35,77,75,264,158,1
ua Shakhtar,20,4.3,79,40,51,22,6,46,115,40.0,69,50,16,34,39,118,88,1
md Sheriff Tiraspol,21,6.0,103,65,59,34,10,56,95,58.9,39,66,22,44,71,174,110,2
pt Sporting CP,21,6.3,114,73,65,32,17,63,143,44.1,80,52,15,37,54,168,86,4
at Sturm Graz,22,6.0,99,62,48,34,17,54,115,47.0,61,68,9,59,64,163,111,1
tr Trabzonspor,23,6.0,87,54,41,33,13,49,82,59.8,33,59,17,42,38,125,100,3
de Union Berlin,24,10.0,183,106,82,81,20,80,157,51.0,77,104,15,89,90,273,142,4
be Union SG,22,10.0,151,89,72,62,17,84,171,49.1,87,118,23,95,112,263,190,3
ch Zürich,21,6.0,95,59,48,34,13,46,100,46.0,54,65,30,35,49,144,103,3
