Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%
cy AC Omonia,2,6,6,540,6.0,12,2.0,36,24,69.4,0,0,6,0,0.0,1,1,0,0,0.0
cy AÉK Lárnaka,1,6,6,540,6.0,10,1.67,31,21,71.0,1,2,3,1,16.7,2,1,1,0,50.0
nl Ajax,1,2,2,180,2.0,3,1.5,9,6,77.8,0,1,1,1,50.0,1,1,0,0,0.0
eng Arsenal,2,8,8,750,8.3,6,0.72,23,17,78.3,5,2,1,4,50.0,1,1,0,0,0.0
es Barcelona,1,2,2,180,2.0,4,2.0,10,7,60.0,0,1,1,0,0.0,0,0,0,0,
es Betis,2,8,8,720,8.0,9,1.13,39,30,79.5,5,1,2,3,37.5,1,1,0,0,0.0
no Bodø/Glimt,1,6,6,540,6.0,10,1.67,31,22,67.7,1,1,4,0,0.0,0,0,0,0,
pt Braga,1,6,6,540,6.0,7,1.17,23,16,73.9,3,1,2,2,33.3,1,1,0,0,0.0
ua Dynamo Kyiv,3,6,6,540,6.0,11,1.83,27,16,59.3,0,1,5,0,0.0,0,0,0,0,
tr Fenerbahçe,1,8,8,720,8.0,9,1.13,22,13,63.6,5,2,1,3,37.5,1,1,0,0,0.0
hu Ferencváros,1,8,8,720,8.0,13,1.62,43,30,72.1,3,1,4,1,12.5,1,1,0,0,0.0
nl Feyenoord,2,10,10,930,10.3,15,1.45,45,30,66.7,4,3,3,3,30.0,1,0,0,1,
de Freiburg,2,8,8,720,8.0,6,0.75,34,28,85.3,4,2,2,3,37.5,1,1,0,0,0.0
fi HJK,1,6,6,540,6.0,13,2.17,40,28,70.0,0,1,5,0,0.0,1,1,0,0,0.0
it Juventus,2,8,8,750,8.3,5,0.6,31,26,87.1,4,3,1,4,50.0,1,1,0,0,0.0
it Lazio,1,6,6,540,6.0,11,1.83,28,16,67.9,2,2,2,1,16.7,3,2,1,0,33.3
de Leverkusen,1,8,8,750,8.3,8,0.96,23,16,69.6,4,2,2,3,37.5,1,1,0,0,0.0
bg Ludogorets,1,6,6,540,6.0,9,1.5,31,22,77.4,2,1,3,1,16.7,2,2,0,0,0.0
se Malmö,2,6,6,540,6.0,11,1.83,44,33,79.5,0,0,6,0,0.0,2,2,0,0,0.0
eng Manchester Utd,1,12,12,1080,12.0,12,1.0,38,28,73.7,8,2,2,5,41.7,2,2,0,0,0.0
dk Midtjylland,1,8,8,720,8.0,13,1.62,36,23,66.7,2,3,3,1,12.5,2,1,1,0,50.0
fr Monaco,1,8,8,750,8.3,13,1.56,40,28,70.0,4,1,3,1,12.5,1,1,0,0,0.0
fr Nantes,1,8,8,720,8.0,15,1.87,50,36,74.0,3,1,4,1,12.5,2,2,0,0,0.0
gr Olympiacos,3,6,6,540,6.0,11,1.83,36,25,69.4,0,2,4,1,16.7,0,0,0,0,
nl PSV Eindhoven,2,8,8,720,8.0,7,0.87,32,25,78.1,5,1,2,3,37.5,0,0,0,0,
az Qarabağ,1,6,6,540,6.0,5,0.83,26,21,88.5,2,2,2,3,50.0,2,2,0,0,0.0
at RB Salzburg,1,2,2,180,2.0,2,1.0,9,7,77.8,1,0,1,1,50.0,0,0,0,0,
es Real Sociedad,1,8,8,720,8.0,4,0.5,12,8,66.7,5,1,2,5,62.5,0,0,0,0,
rs Red Star,1,6,6,540,6.0,11,1.83,29,19,65.5,2,0,4,0,0.0,1,1,0,0,0.0
fr Rennes,2,8,8,750,8.3,11,1.32,22,12,59.1,4,3,1,1,12.5,2,2,0,0,0.0
it Roma,2,15,15,1410,15.7,11,0.7,45,35,75.6,7,4,4,6,40.0,0,0,0,0,
es Sevilla,2,9,9,870,9.7,8,0.83,37,29,81.1,4,3,2,3,33.3,1,1,0,0,0.0
ua Shakhtar,1,4,4,390,4.3,11,2.54,31,20,67.7,1,1,2,0,0.0,1,1,0,0,0.0
md Sheriff Tiraspol,2,6,6,540,6.0,10,1.67,30,20,70.0,2,0,4,2,33.3,1,1,0,0,0.0
pt Sporting CP,1,6,6,570,6.3,6,0.95,22,17,72.7,1,4,1,1,16.7,0,0,0,0,
at Sturm Graz,1,6,6,540,6.0,10,1.67,24,14,62.5,2,2,2,3,50.0,1,1,0,0,0.0
tr Trabzonspor,2,6,6,540,6.0,9,1.5,24,15,70.8,3,0,3,2,33.3,2,2,0,0,0.0
de Union Berlin,2,10,10,900,10.0,9,0.9,29,20,69.0,5,2,3,5,50.0,0,0,0,0,
be Union SG,1,10,10,900,10.0,15,1.5,43,27,65.1,5,3,2,3,30.0,1,0,1,0,100.0
ch Zürich,1,6,6,540,6.0,16,2.67,34,19,52.9,1,0,5,0,0.0,0,0,0,0,
