Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 17_level_0 Ast,Unnamed: 18_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 21_level_0 KP,Unnamed: 22_level_0 1/3,Unnamed: 23_level_0 PPA,Unnamed: 24_level_0 CrsPA,Unnamed: 25_level_0 PrgP
cy AC Omonia,23,6.0,1700,2337,72.7,29950,11732,812,979,82.9,704,865,81.4,165,386,42.7,3,3.2,3.5,-0.2,29,112,29,6,160
cy AÉK Lárnaka,21,6.0,1693,2253,75.1,33105,12652,666,782,85.2,726,867,83.7,257,469,54.8,4,2.6,3.3,1.4,32,123,26,12,166
nl Ajax,15,2.0,1138,1343,84.7,19999,6126,474,531,89.3,560,622,90.0,85,143,59.4,1,2.3,3.0,-1.3,18,100,23,8,126
eng Arsenal,26,8.3,4191,4945,84.8,76020,24347,1759,1945,90.4,1930,2114,91.3,410,669,61.3,8,12.2,13.2,-4.2,97,383,102,16,430
es Barcelona,17,2.0,805,1016,79.2,13395,5330,390,457,85.3,286,332,86.1,83,125,66.4,1,1.0,1.6,0.0,13,58,17,5,80
es Betis,26,8.0,3636,4369,83.2,61132,20150,1776,1941,91.5,1352,1550,87.2,358,612,58.5,10,7.7,8.4,2.3,85,239,60,7,295
no Bodø/Glimt,20,6.0,2810,3339,84.2,51546,14294,1041,1185,87.8,1487,1615,92.1,227,398,57.0,4,5.0,4.0,-1.0,49,169,40,6,255
pt Braga,23,6.0,2651,3324,79.8,51875,17503,920,1065,86.4,1310,1489,88.0,356,593,60.0,6,5.3,4.5,0.7,56,227,39,12,241
ua Dynamo Kyiv,25,6.0,2041,2662,76.7,36753,12530,841,956,88.0,918,1083,84.8,204,430,47.4,3,2.5,3.2,0.5,29,127,34,12,163
tr Fenerbahçe,24,8.0,3467,4238,81.8,61862,21677,1482,1648,89.9,1509,1722,87.6,366,631,58.0,6,8.1,8.2,-2.1,68,272,81,16,333
hu Ferencváros,25,8.0,2560,3319,77.1,49350,19284,971,1135,85.6,1196,1395,85.7,339,595,57.0,6,4.3,6.8,1.7,56,197,57,6,264
nl Feyenoord,22,10.3,4482,5461,82.1,80570,28339,1836,2072,88.6,2099,2363,88.8,425,757,56.1,18,9.3,10.7,8.7,110,380,85,16,479
de Freiburg,25,8.0,3340,4220,79.1,62868,21675,1387,1599,86.7,1462,1733,84.4,424,723,58.6,9,6.9,7.0,2.1,77,255,60,19,343
fi HJK,22,6.0,2054,2600,79.0,36382,13985,964,1072,89.9,841,973,86.4,210,437,48.1,2,3.9,3.4,-1.9,37,132,32,4,154
it Juventus,24,8.3,3385,4127,82.0,62047,21275,1375,1561,88.1,1505,1721,87.4,399,631,63.2,8,10.8,8.3,-2.8,86,268,61,22,302
it Lazio,21,6.0,3293,3890,84.7,55890,20151,1590,1754,90.6,1264,1450,87.2,327,482,67.8,7,6.2,7.6,0.8,52,235,52,8,281
de Leverkusen,20,8.3,4388,5188,84.6,72563,23746,2153,2386,90.2,1725,1924,89.7,371,604,61.4,8,8.8,8.2,-0.8,90,296,61,13,379
bg Ludogorets,20,6.0,2376,2921,81.3,43654,14794,983,1113,88.3,1024,1191,86.0,295,457,64.6,6,5.6,4.2,0.4,61,146,40,5,211
se Malmö,24,6.0,2122,2800,75.8,39468,15191,908,1080,84.1,873,1049,83.2,288,512,56.3,3,2.5,2.5,0.5,31,132,32,8,187
eng Manchester Utd,26,12.0,5609,6805,82.4,94821,33366,2776,3090,89.8,2109,2429,86.8,555,884,62.8,12,19.3,19.1,-7.3,168,531,144,20,613
dk Midtjylland,27,8.0,2409,3211,75.0,48184,17709,874,1048,83.4,1150,1355,84.9,342,669,51.1,8,5.2,4.8,2.8,56,192,39,9,231
fr Monaco,25,8.3,3381,4283,78.9,63355,23552,1324,1545,85.7,1502,1810,83.0,433,699,61.9,7,8.1,8.9,-1.1,88,334,90,24,451
fr Nantes,22,8.0,2694,3471,77.6,49432,18525,1154,1333,86.6,1169,1403,83.3,303,567,53.4,6,6.5,4.7,-0.5,79,221,41,18,285
gr Olympiacos,29,6.0,2128,2726,78.1,39109,14493,926,1049,88.3,921,1088,84.7,239,459,52.1,1,3.7,3.8,-2.7,33,133,33,6,189
nl PSV Eindhoven,29,8.0,3154,3871,81.5,55550,20470,1428,1592,89.7,1316,1500,87.7,317,572,55.4,13,7.5,7.2,5.5,85,227,59,14,284
az Qarabağ,20,6.0,2394,3058,78.3,42795,16234,1084,1256,86.3,984,1164,84.5,261,459,56.9,6,5.4,5.3,0.6,61,198,50,6,249
at RB Salzburg,18,2.0,742,959,77.4,13011,4609,321,377,85.1,334,401,83.3,67,134,50.0,1,1.5,1.8,-0.5,19,55,14,5,83
es Real Sociedad,29,8.0,3932,4766,82.5,71373,21813,1631,1831,89.1,1820,2069,88.0,398,642,62.0,7,7.5,7.3,-0.5,82,310,60,16,356
rs Red Star,23,6.0,1984,2593,76.5,37362,15072,782,927,84.4,872,1027,84.9,265,471,56.3,6,5.5,5.4,0.5,62,161,49,23,255
fr Rennes,26,8.3,3250,4048,80.3,58704,19929,1359,1550,87.7,1454,1686,86.2,349,605,57.7,12,10.1,9.3,1.9,91,254,77,15,344
it Roma,26,15.7,5075,6628,76.6,97233,36318,2073,2485,83.4,2166,2582,83.9,698,1200,58.2,13,18.6,15.5,-5.6,147,363,115,34,477
es Sevilla,22,9.7,3474,4518,76.9,64730,22558,1511,1700,88.9,1488,1789,83.2,409,810,50.5,9,6.2,7.4,2.8,92,319,63,29,395
ua Shakhtar,20,4.3,1757,2085,84.3,32332,10691,720,787,91.5,802,879,91.2,179,307,58.3,3,1.5,2.0,1.5,22,74,19,3,102
md Sheriff Tiraspol,21,6.0,1305,1858,70.2,24376,9655,558,654,85.3,520,652,79.8,165,419,39.4,3,2.2,1.9,0.8,36,108,10,5,113
pt Sporting CP,21,6.3,2799,3414,82.0,50111,15812,1184,1343,88.2,1326,1487,89.2,244,449,54.3,3,7.5,6.2,-4.5,56,199,37,2,265
at Sturm Graz,22,6.0,1686,2315,72.8,30811,13140,728,867,84.0,704,885,79.5,204,440,46.4,4,4.7,4.6,-0.7,65,149,30,11,172
tr Trabzonspor,23,6.0,2989,3565,83.8,51270,15809,1377,1511,91.1,1238,1376,90.0,265,458,57.9,8,4.9,4.7,3.1,80,226,42,9,249
de Union Berlin,24,10.0,3149,4274,73.7,60116,23551,1268,1533,82.7,1441,1749,82.4,382,777,49.2,4,7.0,8.8,-3.0,92,258,73,34,326
be Union SG,22,10.0,3828,4865,78.7,67209,26081,1828,2083,87.8,1458,1726,84.5,430,767,56.1,16,9.4,7.5,6.6,81,248,69,20,350
ch Zürich,21,6.0,1943,2530,76.8,37271,13486,746,869,85.8,823,971,84.8,297,510,58.2,4,5.2,4.4,-1.2,61,136,32,12,176
