Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 Age,Unnamed: 3_level_0 Poss,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG
cy AC Omonia,23,27.8,40.5,6,66,540,6.0,3,3,6,3,0,0,14,0,3.8,3.8,3.2,7.0,63,160,0.5,0.5,1.0,0.5,1.0,0.64,0.53,1.17,0.64,1.17
cy AÉK Lárnaka,21,29.5,41.5,6,66,540,6.0,7,4,11,6,1,1,18,1,4.6,3.9,2.6,6.5,66,166,1.17,0.67,1.83,1.0,1.67,0.77,0.44,1.21,0.64,1.08
nl Ajax,15,24.9,69.5,2,22,180,2.0,1,1,2,1,0,0,7,1,2.3,2.3,2.3,4.6,27,126,0.5,0.5,1.0,0.5,1.0,1.14,1.13,2.28,1.14,2.28
eng Arsenal,26,24.5,59.9,8,88,750,8.3,10,8,18,10,0,0,15,0,15.7,15.7,12.2,27.9,161,430,1.2,0.96,2.16,1.2,2.16,1.88,1.46,3.34,1.88,3.34
es Barcelona,17,26.6,58.5,2,22,180,2.0,3,1,4,2,1,1,5,0,2.2,1.4,1.0,2.4,38,80,1.5,0.5,2.0,1.0,1.5,1.11,0.48,1.59,0.71,1.2
es Betis,26,29.0,52.3,8,88,720,8.0,13,10,23,12,1,1,18,0,9.6,9.0,7.7,16.7,124,295,1.62,1.25,2.87,1.5,2.75,1.2,0.97,2.17,1.12,2.09
no Bodø/Glimt,20,25.7,51.0,6,66,540,6.0,4,4,8,4,0,0,10,0,5.7,5.7,5.0,10.7,136,255,0.67,0.67,1.33,0.67,1.33,0.95,0.84,1.78,0.95,1.78
pt Braga,23,26.5,57.5,6,66,540,6.0,9,6,15,8,1,1,14,0,7.4,6.6,5.3,11.9,95,241,1.5,1.0,2.5,1.33,2.33,1.24,0.88,2.11,1.1,1.98
ua Dynamo Kyiv,25,26.0,49.0,6,66,540,6.0,5,3,8,5,0,0,16,1,3.6,3.6,2.5,6.1,77,163,0.83,0.5,1.33,0.83,1.33,0.6,0.42,1.02,0.6,1.02
tr Fenerbahçe,24,26.6,60.8,8,88,720,8.0,13,6,19,10,3,4,20,0,13.5,10.4,8.1,18.5,132,333,1.62,0.75,2.37,1.25,2.0,1.69,1.02,2.71,1.3,2.31
hu Ferencváros,25,27.2,41.9,8,88,720,8.0,8,6,14,7,1,1,27,1,7.8,7.0,4.3,11.2,130,264,1.0,0.75,1.75,0.87,1.62,0.97,0.54,1.5,0.87,1.41
nl Feyenoord,22,23.9,53.7,10,110,930,10.3,23,18,41,20,3,3,20,1,14.4,12.2,9.3,21.6,201,479,2.23,1.74,3.97,1.94,3.68,1.39,0.9,2.29,1.18,2.09
de Freiburg,25,27.0,53.9,8,88,720,8.0,13,9,22,11,2,2,20,1,10.3,8.8,6.9,15.7,133,343,1.62,1.13,2.75,1.37,2.5,1.29,0.86,2.15,1.1,1.96
fi HJK,22,25.6,42.5,6,66,540,6.0,2,2,4,2,0,0,13,2,4.1,4.1,3.9,7.9,62,154,0.33,0.33,0.67,0.33,0.67,0.68,0.64,1.32,0.68,1.32
it Juventus,24,27.9,49.3,8,88,750,8.3,11,8,19,9,2,2,17,0,14.1,13.0,10.8,23.8,137,302,1.32,0.96,2.28,1.08,2.04,1.7,1.3,2.99,1.56,2.85
it Lazio,21,28.0,60.0,6,66,540,6.0,9,7,16,8,1,1,20,2,8.6,7.8,6.2,14.0,119,281,1.5,1.17,2.67,1.33,2.5,1.43,1.04,2.47,1.3,2.34
de Leverkusen,20,24.2,58.8,8,88,750,8.3,14,8,22,14,0,0,18,0,13.4,13.4,8.8,22.2,190,379,1.68,0.96,2.64,1.68,2.64,1.61,1.05,2.66,1.61,2.66
bg Ludogorets,20,26.9,50.2,6,66,540,6.0,8,6,14,8,0,0,17,1,6.2,6.2,5.6,11.8,121,211,1.33,1.0,2.33,1.33,2.33,1.04,0.93,1.96,1.04,1.96
se Malmö,24,28.3,48.7,6,66,540,6.0,3,3,6,3,0,0,17,1,3.3,3.3,2.5,5.8,60,187,0.5,0.5,1.0,0.5,1.0,0.55,0.41,0.96,0.55,0.96
eng Manchester Utd,26,27.3,59.2,12,132,1080,12.0,20,12,32,19,1,1,24,0,23.9,23.1,19.3,42.4,297,613,1.67,1.0,2.67,1.58,2.58,1.99,1.6,3.6,1.93,3.53
dk Midtjylland,27,26.3,42.9,8,88,720,8.0,13,8,21,12,1,2,25,1,7.8,6.1,5.2,11.3,89,231,1.62,1.0,2.62,1.5,2.5,0.97,0.65,1.62,0.76,1.41
fr Monaco,25,24.8,51.0,8,88,750,8.3,12,7,19,9,3,3,15,0,12.3,9.9,8.1,18.0,179,451,1.44,0.84,2.28,1.08,1.92,1.48,0.97,2.45,1.19,2.17
fr Nantes,22,27.0,42.6,8,88,720,8.0,7,6,13,7,0,0,15,1,7.6,7.6,6.5,14.1,153,285,0.87,0.75,1.62,0.87,1.62,0.95,0.82,1.77,0.95,1.77
gr Olympiacos,29,27.6,45.7,6,66,540,6.0,1,1,2,1,0,0,15,1,4.8,4.8,3.7,8.5,74,189,0.17,0.17,0.33,0.17,0.33,0.81,0.62,1.42,0.81,1.42
nl PSV Eindhoven,29,25.1,46.0,8,88,720,8.0,16,13,29,16,0,0,9,1,10.3,10.3,7.5,17.8,134,284,2.0,1.62,3.62,2.0,3.62,1.29,0.94,2.22,1.29,2.22
az Qarabağ,20,27.8,57.0,6,66,540,6.0,9,6,15,8,1,1,15,1,9.0,8.2,5.4,13.6,145,249,1.5,1.0,2.5,1.33,2.33,1.49,0.9,2.4,1.36,2.27
at RB Salzburg,18,23.3,54.5,2,22,180,2.0,1,1,2,1,0,0,3,0,2.1,2.1,1.5,3.6,42,83,0.5,0.5,1.0,0.5,1.0,1.05,0.73,1.78,1.05,1.78
es Real Sociedad,29,25.8,61.5,8,88,720,8.0,10,7,17,9,1,1,19,1,10.6,9.9,7.5,17.3,181,356,1.25,0.87,2.12,1.13,2.0,1.33,0.93,2.26,1.23,2.17
rs Red Star,23,29.2,46.3,6,66,540,6.0,9,6,15,7,2,2,17,1,7.6,6.2,5.5,11.7,83,255,1.5,1.0,2.5,1.17,2.17,1.27,0.92,2.2,1.03,1.95
fr Rennes,26,24.5,48.3,8,88,750,8.3,14,12,26,14,0,0,15,1,12.4,12.4,10.1,22.6,190,344,1.68,1.44,3.12,1.68,3.12,1.49,1.22,2.71,1.49,2.71
it Roma,26,27.9,44.5,15,165,1410,15.7,20,13,33,17,3,4,39,1,28.3,25.2,18.6,43.7,264,477,1.28,0.83,2.11,1.09,1.91,1.8,1.19,2.99,1.61,2.79
es Sevilla,22,29.5,49.3,9,99,870,9.7,11,9,20,11,0,0,31,1,8.7,8.7,6.2,14.9,152,395,1.14,0.93,2.07,1.14,2.07,0.9,0.64,1.54,0.9,1.54
ua Shakhtar,20,24.2,46.0,4,44,390,4.3,4,3,7,3,1,1,10,0,3.2,2.4,1.5,4.0,40,102,0.92,0.69,1.62,0.69,1.38,0.74,0.36,1.1,0.56,0.91
md Sheriff Tiraspol,21,24.8,33.0,6,66,540,6.0,4,3,7,3,1,1,16,2,3.8,3.1,2.2,5.2,71,113,0.67,0.5,1.17,0.5,1.0,0.63,0.36,1.0,0.51,0.87
pt Sporting CP,21,26.0,55.0,6,66,570,6.3,8,3,11,7,1,1,12,1,11.6,10.8,7.5,18.3,132,265,1.26,0.47,1.74,1.11,1.58,1.84,1.18,3.01,1.71,2.89
at Sturm Graz,22,24.6,41.0,6,66,540,6.0,4,4,8,4,0,1,25,2,6.2,5.4,4.7,10.1,75,172,0.67,0.67,1.33,0.67,1.33,1.03,0.78,1.81,0.9,1.68
tr Trabzonspor,23,28.1,59.2,6,66,540,6.0,10,8,18,10,0,0,11,1,6.0,6.0,4.9,10.9,93,249,1.67,1.33,3.0,1.67,3.0,1.0,0.82,1.82,1.0,1.82
de Union Berlin,24,27.8,42.7,10,110,900,10.0,10,4,14,7,3,4,28,3,12.0,8.7,7.0,15.7,137,326,1.0,0.4,1.4,0.7,1.1,1.2,0.7,1.9,0.87,1.57
be Union SG,22,25.8,48.4,10,110,900,10.0,19,16,35,19,0,0,21,0,11.6,11.6,9.4,21.0,181,350,1.9,1.6,3.5,1.9,3.5,1.16,0.94,2.1,1.16,2.1
ch Zürich,21,26.8,43.8,6,66,540,6.0,5,4,9,4,1,1,13,0,7.0,6.2,5.2,11.4,85,176,0.83,0.67,1.5,0.67,1.33,1.17,0.86,2.03,1.04,1.91
