Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
gr AEK Athens,22,6.0,157,26.17,98,17,8,18,10,6,11,1.83,6,2,0,1,2,0
nl Ajax,26,6.0,107,17.83,86,7,5,2,4,3,19,3.17,15,2,0,0,1,1
cy Aris Limassol FC,18,6.0,110,18.33,78,8,7,7,5,5,12,2.0,7,1,3,0,1,0
it Atalanta,32,13.0,297,22.85,222,17,27,23,6,2,40,3.08,29,0,5,6,0,0
pt Benfica,18,6.3,157,24.79,107,18,11,14,6,1,9,1.42,5,0,0,3,1,0
es Betis,22,6.0,147,24.5,110,9,14,7,3,4,14,2.33,11,1,0,1,0,1
pt Braga,18,2.3,75,32.14,57,6,3,4,4,1,9,3.86,5,0,1,1,2,0
eng Brighton,26,8.0,183,22.87,141,8,9,10,10,5,20,2.5,14,0,1,1,4,0
nl Feyenoord,19,2.3,50,21.43,42,3,2,0,3,0,4,1.71,4,0,0,0,0,0
de Freiburg,23,10.3,268,25.94,193,26,8,27,7,7,34,3.29,21,1,4,6,2,0
tr Galatasaray,17,2.0,45,22.5,31,4,1,2,4,3,6,3.0,5,0,0,1,0,0
se Häcken,21,6.0,134,22.33,106,6,10,5,4,3,3,0.5,1,0,1,1,0,0
at LASK,22,6.0,99,16.5,66,12,5,9,4,3,10,1.67,5,2,0,3,0,0
fr Lens,18,2.3,44,18.86,31,6,3,3,1,0,2,0.86,1,0,0,0,1,0
de Leverkusen,24,13.0,434,33.38,352,26,15,28,8,5,49,3.77,42,1,2,3,0,1
eng Liverpool,31,10.0,292,29.2,215,17,19,18,14,9,44,4.4,29,1,4,4,3,3
il Maccabi Haifa,24,6.0,87,14.5,62,6,6,3,4,6,6,1.0,4,1,0,0,1,0
fr Marseille,27,14.3,328,22.88,231,29,23,17,22,6,48,3.35,35,2,3,0,7,1
it Milan,22,6.0,186,31.0,128,17,15,18,7,1,21,3.5,15,2,0,4,0,0
no Molde,23,6.0,138,23.0,102,12,8,11,4,1,24,4.0,15,4,0,3,1,1
gr Olympiacos,23,6.0,140,23.33,103,11,10,10,3,3,19,3.17,16,1,0,1,0,1
gr Panathinaikos,20,6.0,148,24.67,102,18,8,6,12,2,12,2.0,7,1,0,2,2,0
az Qarabağ,21,10.3,188,18.19,139,19,12,7,6,5,29,2.81,18,1,5,1,3,1
pl Raków,20,6.0,106,17.67,81,5,7,6,5,2,4,0.67,1,0,1,2,0,0
sct Rangers,25,8.0,177,22.12,128,11,13,15,8,2,15,1.87,10,0,2,2,1,0
fr Rennes,25,8.0,229,28.62,169,15,10,19,13,3,25,3.12,14,2,1,2,6,0
it Roma,29,14.3,292,20.37,226,21,12,16,12,5,41,2.86,29,3,3,4,1,1
ch Servette FC,21,6.0,138,23.0,101,12,7,3,8,7,6,1.0,2,0,2,1,1,0
ua Shakhtar,20,2.0,35,17.5,25,3,1,0,5,1,6,3.0,4,0,0,0,2,0
md Sheriff Tiraspol,18,6.0,70,11.67,43,11,6,2,6,2,7,1.17,4,1,0,1,1,0
cz Slavia Prague,27,8.0,178,22.25,130,20,3,12,12,1,32,4.0,20,4,0,4,4,0
cz Sparta Prague,24,10.0,190,19.0,136,22,9,13,8,2,26,2.6,20,3,1,1,1,0
pt Sporting CP,25,10.0,209,20.9,147,18,18,14,10,2,26,2.6,13,3,2,4,4,0
at Sturm Graz,22,6.0,92,15.33,63,11,3,6,7,2,6,1.0,2,2,0,1,1,0
fr Toulouse,24,8.0,138,17.25,102,13,8,8,5,2,15,1.87,12,0,0,0,1,2
rs TSC,22,6.0,75,12.5,53,10,2,2,7,1,8,1.33,7,0,1,0,0,0
be Union SG,19,6.0,111,18.5,78,16,2,4,11,0,10,1.67,6,1,1,0,2,0
es Villarreal,29,8.0,178,22.25,122,17,9,19,10,1,21,2.62,14,1,2,1,3,0
eng West Ham,25,10.0,207,20.7,137,29,14,18,6,3,29,2.9,21,3,3,2,0,0
ch Young Boys,19,2.0,29,14.5,25,0,2,1,1,0,3,1.5,2,0,0,1,0,0
