Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
gr AEK Athens,22,6.0,6,96,28,29.2,16.0,4.67,0.06,0.21,15.6,3,0,0,8.7,8.7,0.1,-2.7,-2.7
nl Ajax,26,6.0,10,57,30,52.6,9.5,5.0,0.16,0.3,16.7,2,1,1,9.4,8.6,0.15,0.6,0.4
cy Aris Limassol FC,18,6.0,7,62,16,25.8,10.33,2.67,0.1,0.38,19.1,1,1,1,7.0,6.3,0.1,0.0,-0.3
it Atalanta,32,13.0,25,168,67,39.9,12.92,5.15,0.14,0.36,16.2,3,1,1,23.0,22.3,0.14,2.0,1.7
pt Benfica,18,6.3,6,91,20,22.0,14.37,3.16,0.03,0.15,17.8,1,3,3,11.2,8.9,0.1,-5.2,-5.9
es Betis,22,6.0,9,89,34,38.2,14.83,5.67,0.1,0.26,18.4,2,0,1,9.1,8.3,0.1,-0.1,0.7
pt Braga,18,2.3,5,38,16,42.1,16.29,6.86,0.08,0.19,19.9,1,2,2,4.2,2.7,0.07,0.8,0.3
eng Brighton,26,8.0,11,99,33,33.3,12.38,4.12,0.07,0.21,16.9,5,4,4,12.3,9.3,0.1,-1.3,-2.3
nl Feyenoord,19,2.3,2,25,10,40.0,10.71,4.29,0.08,0.2,19.0,3,0,0,2.0,2.0,0.08,0.0,0.0
de Freiburg,23,10.3,21,157,53,33.8,15.19,5.13,0.12,0.36,16.3,1,2,2,17.3,15.7,0.1,3.7,3.3
tr Galatasaray,17,2.0,4,26,7,26.9,13.0,3.5,0.15,0.57,19.5,1,0,0,2.2,2.2,0.09,1.8,1.8
se Häcken,21,6.0,2,79,29,36.7,13.17,4.83,0.03,0.07,19.0,3,0,0,7.4,7.4,0.1,-5.4,-5.4
at LASK,22,6.0,6,56,18,32.1,9.33,3.0,0.09,0.28,16.3,0,1,1,7.5,6.7,0.12,-1.5,-1.7
fr Lens,18,2.3,2,24,8,33.3,10.29,3.43,0.08,0.25,16.9,0,0,0,1.4,1.4,0.06,0.6,0.6
de Leverkusen,24,13.0,29,241,84,34.9,18.54,6.46,0.12,0.33,17.8,5,1,1,26.5,25.8,0.11,2.5,2.2
eng Liverpool,31,10.0,28,167,67,40.1,16.7,6.7,0.14,0.36,18.0,3,4,4,23.3,20.2,0.13,4.7,3.8
il Maccabi Haifa,24,6.0,3,52,16,30.8,8.67,2.67,0.06,0.19,17.4,1,0,0,5.6,5.6,0.11,-2.6,-2.6
fr Marseille,27,14.3,26,185,64,34.6,12.91,4.47,0.11,0.33,17.7,7,5,5,23.5,19.6,0.11,2.5,1.4
it Milan,22,6.0,13,104,35,33.7,17.33,5.83,0.13,0.37,16.4,3,0,0,11.4,11.4,0.11,1.6,1.6
no Molde,23,6.0,12,81,33,40.7,13.5,5.5,0.15,0.36,17.0,3,0,0,8.5,8.5,0.11,3.5,3.5
gr Olympiacos,23,6.0,10,82,23,28.0,13.67,3.83,0.12,0.43,17.5,1,0,0,7.7,7.7,0.1,2.3,2.3
gr Panathinaikos,20,6.0,7,79,18,22.8,13.17,3.0,0.06,0.28,15.4,3,2,3,9.5,7.1,0.09,-2.5,-2.1
az Qarabağ,21,10.3,17,106,38,35.8,10.26,3.68,0.14,0.39,17.8,1,2,2,12.7,11.2,0.11,4.3,3.8
pl Raków,20,6.0,3,61,13,21.3,10.17,2.17,0.05,0.23,15.3,1,0,0,7.9,7.9,0.14,-4.9,-4.9
sct Rangers,25,8.0,10,107,39,36.4,13.37,4.87,0.09,0.26,18.1,7,0,0,9.6,9.6,0.1,0.4,0.4
fr Rennes,25,8.0,16,125,41,32.8,15.62,5.12,0.1,0.32,18.6,5,3,4,13.3,10.2,0.08,2.7,2.8
it Roma,29,14.3,22,160,56,35.0,11.16,3.91,0.13,0.36,16.9,7,2,2,20.0,18.5,0.12,2.0,1.5
ch Servette FC,21,6.0,4,81,23,28.4,13.5,3.83,0.04,0.13,21.8,4,1,1,6.1,5.3,0.07,-2.1,-2.3
ua Shakhtar,20,2.0,3,20,8,40.0,10.0,4.0,0.1,0.25,17.9,3,1,1,2.5,1.7,0.09,0.5,0.3
md Sheriff Tiraspol,18,6.0,4,43,14,32.6,7.17,2.33,0.09,0.29,21.9,4,0,0,3.2,3.2,0.08,0.8,0.8
cz Slavia Prague,27,8.0,19,103,34,33.0,12.87,4.25,0.17,0.53,16.6,3,1,1,12.4,11.6,0.12,6.6,6.4
cz Sparta Prague,24,10.0,16,115,50,43.5,11.5,5.0,0.14,0.32,17.8,3,0,0,13.3,13.3,0.12,2.7,2.7
pt Sporting CP,25,10.0,15,113,39,34.5,11.3,3.9,0.1,0.28,16.5,1,4,5,16.5,12.6,0.11,-1.5,-1.6
