Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Unnamed: 15_level_0 Int,Unnamed: 16_level_0 Tkl+Int,Unnamed: 17_level_0 Clr,Unnamed: 18_level_0 Err
ar Argentina,24,7.7,123,69,70,41,12,58,99,58.6,41,84,14,70,52,175,125,0
au Australia,20,4.0,58,30,34,21,3,34,58,58.6,24,64,20,44,40,98,104,3
be Belgium,20,3.0,48,27,29,17,2,26,41,63.4,15,33,8,25,17,65,59,1
br Brazil,26,5.3,88,51,38,29,21,33,56,58.9,23,60,10,50,40,128,63,1
cm Cameroon,22,3.0,42,20,27,13,2,12,27,44.4,15,22,6,16,40,82,71,1
ca Canada,19,3.0,41,23,21,13,7,20,40,50.0,20,26,5,21,18,59,41,2
cr Costa Rica,22,3.0,67,35,43,20,4,33,65,50.8,32,42,14,28,31,98,83,1
hr Croatia,21,7.7,132,83,59,56,17,56,101,55.4,45,77,28,49,53,185,143,0
dk Denmark,20,3.0,42,27,18,20,4,18,39,46.2,21,43,16,27,23,65,49,0
ec Ecuador,18,3.0,46,30,21,23,2,12,36,33.3,24,33,4,29,28,74,42,1
eng England,20,5.0,65,44,26,25,14,22,34,64.7,12,48,13,35,38,103,55,0
fr France,24,7.3,145,88,77,54,14,55,91,60.4,36,73,22,51,76,221,103,1
de Germany,20,3.0,50,27,24,20,6,26,43,60.5,17,41,7,34,21,71,24,3
gh Ghana,20,3.0,54,34,31,16,7,22,28,78.6,6,37,14,23,19,73,84,1
ir IR Iran,21,3.0,53,29,29,18,6,23,56,41.1,33,37,8,29,42,95,61,0
jp Japan,22,4.3,70,38,29,34,7,25,42,59.5,17,62,19,43,34,104,101,2
kr Korea Republic,21,4.0,59,33,28,23,8,30,51,58.8,21,31,8,23,31,90,66,1
mx Mexico,21,3.0,50,27,21,26,3,25,44,56.8,19,31,2,29,25,75,48,0
ma Morocco,25,7.3,129,79,76,45,8,68,124,54.8,56,86,20,66,68,197,163,2
nl Netherlands,21,5.3,91,47,39,40,12,34,55,61.8,21,58,18,40,52,143,97,1
pl Poland,21,4.0,64,30,33,22,9,22,55,40.0,33,39,13,26,30,94,110,2
pt Portugal,24,5.0,66,44,31,25,10,30,55,54.5,25,43,12,31,35,101,58,3
qa Qatar,20,3.0,38,22,21,13,4,14,37,37.8,23,21,4,17,24,62,44,2
sa Saudi Arabia,23,3.0,47,23,27,16,4,15,33,45.5,18,40,13,27,31,78,67,1
sn Senegal,20,4.0,43,32,24,17,2,20,36,55.6,16,34,6,28,31,74,96,1
rs Serbia,22,3.0,53,22,22,23,8,27,45,60.0,18,41,10,31,22,75,49,3
es Spain,21,4.3,53,32,19,25,9,16,39,41.0,23,31,4,27,19,72,37,3
ch Switzerland,24,4.0,48,25,24,18,6,23,39,59.0,16,35,11,24,24,72,78,1
tn Tunisia,21,3.0,64,36,32,27,5,27,38,71.1,11,41,9,32,25,89,85,1
us United States,20,4.0,52,34,31,16,5,25,43,58.1,18,44,4,40,25,77,66,0
uy Uruguay,19,3.0,51,31,28,19,4,22,46,47.8,24,39,8,31,32,83,54,1
wls Wales,18,3.0,40,27,16,19,5,15,30,50.0,15,41,15,26,21,61,78,3
