Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def
ar Argentina,24,7.7,179,23.35,134,13,6,9,10,7,25,3.26,16,1,3,1,4,0
au Australia,20,4.0,42,10.5,29,6,3,1,3,0,6,1.5,5,0,1,0,0,0
be Belgium,20,3.0,65,21.67,46,8,4,4,2,1,2,0.67,2,0,0,0,0,0
br Brazil,26,5.3,170,31.87,127,9,7,15,9,3,13,2.44,9,0,1,2,1,0
cm Cameroon,22,3.0,50,16.67,32,5,7,4,2,0,7,2.33,5,0,1,1,0,0
ca Canada,19,3.0,61,20.33,47,4,3,5,2,0,2,0.67,2,0,0,0,0,0
cr Costa Rica,22,3.0,20,6.67,13,2,0,3,2,0,3,1.0,1,0,0,2,0,0
hr Croatia,21,7.7,132,17.22,104,9,6,7,4,2,14,1.83,13,1,0,0,0,0
dk Denmark,20,3.0,57,19.0,42,7,1,7,0,0,1,0.33,0,0,0,1,0,0
ec Ecuador,18,3.0,47,15.67,31,4,1,6,4,1,6,2.0,3,0,0,2,1,0
eng England,20,5.0,110,22.0,66,13,11,7,10,3,24,4.8,17,1,4,0,2,0
fr France,24,7.3,183,24.95,135,16,10,14,6,2,29,3.95,24,0,0,4,1,0
de Germany,20,3.0,124,41.33,96,7,6,8,4,3,12,4.0,11,0,0,0,1,0
gh Ghana,20,3.0,46,15.33,36,3,1,2,2,2,9,3.0,7,0,0,1,1,0
ir IR Iran,21,3.0,58,19.33,43,4,1,5,5,0,8,2.67,4,0,1,1,2,0
jp Japan,22,4.3,76,17.54,51,6,2,11,4,2,8,1.85,5,1,0,1,1,0
kr Korea Republic,21,4.0,86,21.5,65,7,2,6,4,2,8,2.0,5,0,0,0,2,1
mx Mexico,21,3.0,75,25.0,52,9,3,3,8,0,4,1.33,2,1,0,0,1,0
ma Morocco,25,7.3,107,14.59,79,8,8,5,7,0,10,1.36,6,1,1,0,2,0
nl Netherlands,21,5.3,72,13.5,54,8,0,6,3,1,16,3.0,12,1,0,2,1,0
pl Poland,21,4.0,52,13.0,32,6,7,3,4,0,4,1.0,2,0,2,0,0,0
pt Portugal,24,5.0,117,23.4,89,13,3,4,6,2,21,4.2,17,2,1,0,1,0
qa Qatar,20,3.0,38,12.67,30,3,0,0,2,3,2,0.67,2,0,0,0,0,0
sa Saudi Arabia,23,3.0,44,14.67,31,2,3,4,4,0,4,1.33,3,0,0,1,0,0
sn Senegal,20,4.0,87,21.75,66,5,5,3,7,1,9,2.25,6,1,0,0,2,0
rs Serbia,22,3.0,51,17.0,37,6,1,2,2,3,8,2.67,6,1,0,0,1,0
es Spain,21,4.3,93,21.46,82,6,0,0,5,0,16,3.69,15,0,0,0,1,0
ch Switzerland,24,4.0,64,16.0,50,7,0,6,1,0,8,2.0,8,0,0,0,0,0
tn Tunisia,21,3.0,57,19.0,40,8,2,6,0,1,2,0.67,2,0,0,0,0,0
us United States,20,4.0,83,20.75,68,4,6,4,0,1,6,1.5,6,0,0,0,0,0
uy Uruguay,19,3.0,63,21.0,50,5,2,2,4,0,3,1.0,2,0,0,1,0,0
wls Wales,18,3.0,45,15.0,31,5,0,4,4,1,2,0.67,0,1,0,0,1,0
