Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Unnamed: 17_level_0 Ast,Unnamed: 18_level_0 xAG,Expected xA,Expected A-xAG,Unnamed: 21_level_0 KP,Unnamed: 22_level_0 1/3,Unnamed: 23_level_0 PPA,Unnamed: 24_level_0 CrsPA,Unnamed: 25_level_0 PrgP
ar Argentina,24,7.7,3911,4625,84.6,60643,18617,2135,2339,91.3,1448,1632,88.7,235,433,54.3,8,7.7,7.0,0.3,76,241,64,7,310
au Australia,20,4.0,1254,1696,73.9,22489,8922,546,643,84.9,499,612,81.5,145,306,47.4,3,1.9,1.1,1.1,17,77,15,2,102
be Belgium,20,3.0,1598,1885,84.8,30387,9967,575,637,90.3,866,955,90.7,148,237,62.4,1,3.8,2.9,-2.8,29,102,18,2,131
br Brazil,26,5.3,2750,3203,85.9,45228,14850,1305,1430,91.3,1190,1336,89.1,180,297,60.6,6,8.2,7.9,-2.2,70,209,55,11,267
cm Cameroon,22,3.0,960,1252,76.7,17831,7268,455,516,88.2,367,444,82.7,121,234,51.7,4,2.0,2.2,2.0,21,90,11,3,90
ca Canada,19,3.0,1307,1586,82.4,22064,7915,635,704,90.2,519,578,89.8,117,210,55.7,1,2.8,2.6,-1.8,27,103,24,12,114
cr Costa Rica,22,3.0,823,1101,74.8,15308,6006,362,425,85.2,352,411,85.6,92,199,46.2,1,0.6,0.4,0.4,7,35,7,2,51
hr Croatia,21,7.7,3766,4523,83.3,62507,20561,1911,2082,91.8,1413,1642,86.1,325,526,61.8,8,5.6,6.0,2.4,61,246,59,22,348
dk Denmark,20,3.0,1598,1944,82.2,28745,9562,711,803,88.5,670,753,89.0,176,292,60.3,1,1.8,1.8,-0.8,27,154,25,6,181
ec Ecuador,18,3.0,1153,1473,78.3,19926,6755,548,615,89.1,468,544,86.0,112,235,47.7,2,1.8,1.6,0.2,20,60,17,10,74
eng England,20,5.0,2775,3211,86.4,50485,15112,1198,1299,92.2,1280,1391,92.0,263,407,64.6,11,5.6,6.0,5.4,46,166,45,7,251
fr France,24,7.3,3277,3969,82.6,59209,18414,1481,1642,90.2,1412,1582,89.3,339,578,58.7,12,10.3,9.2,1.7,80,300,53,20,289
de Germany,20,3.0,1686,1990,84.7,27871,9490,797,881,90.5,662,725,91.3,149,230,64.8,5,7.5,7.2,-2.5,52,126,48,14,180
gh Ghana,20,3.0,972,1256,77.4,16652,6226,475,533,89.1,376,443,84.9,99,210,47.1,2,1.7,1.5,0.3,18,67,12,4,76
ir IR Iran,21,3.0,769,1106,69.5,14148,5637,312,382,81.7,332,425,78.1,96,225,42.7,2,2.4,2.7,-0.4,26,55,17,3,78
jp Japan,22,4.3,1324,1750,75.7,23079,7896,636,735,86.5,540,652,82.8,125,283,44.2,4,3.5,2.5,0.5,31,101,24,8,119
kr Korea Republic,21,4.0,1619,2022,80.1,30139,10119,705,792,89.0,671,777,86.4,209,360,58.1,3,3.3,3.0,-0.3,36,150,38,12,181
mx Mexico,21,3.0,1097,1450,75.7,19868,7015,483,570,84.7,482,588,82.0,117,222,52.7,1,2.7,3.4,-1.7,25,95,19,10,121
ma Morocco,25,7.3,2270,2889,78.6,38633,15136,1125,1272,88.4,833,985,84.6,239,454,52.6,4,4.6,3.2,-0.6,41,107,34,12,170
nl Netherlands,21,5.3,2472,2993,82.6,41845,14660,1195,1351,88.5,993,1130,87.9,230,383,60.1,8,2.9,3.5,5.1,33,186,28,6,193
pl Poland,21,4.0,1169,1531,76.4,21855,8533,495,564,87.8,499,580,86.0,139,289,48.1,1,1.8,2.3,-0.8,22,80,15,8,84
pt Portugal,24,5.0,2630,3142,83.7,46589,13795,1269,1383,91.8,1015,1146,88.6,288,468,61.5,10,5.3,4.5,4.7,49,174,44,14,221
qa Qatar,20,3.0,1129,1407,80.2,19847,6322,519,580,89.5,426,494,86.2,135,228,59.2,1,1.2,1.6,-0.2,16,61,13,6,71
sa Saudi Arabia,23,3.0,870,1205,72.2,14844,5828,419,486,86.2,316,411,76.9,95,205,46.3,2,1.4,1.4,0.6,18,70,23,5,101
sn Senegal,20,4.0,1310,1687,77.7,22903,7970,610,681,89.6,491,581,84.5,151,305,49.5,2,2.4,2.8,-0.4,36,93,29,10,111
rs Serbia,22,3.0,1181,1514,78.0,20846,7345,501,573,87.4,531,628,84.6,110,225,48.9,4,2.9,2.8,1.1,25,86,21,8,105
es Spain,21,4.3,3542,3957,89.5,62461,15639,1423,1519,93.7,1788,1921,93.1,268,357,75.1,5,4.0,4.4,1.0,37,291,46,8,270
ch Switzerland,24,4.0,1663,2063,80.6,29329,9597,711,804,88.4,760,881,86.3,151,269,56.1,4,3.6,3.6,0.4,27,112,20,2,160
tn Tunisia,21,3.0,998,1352,73.8,19453,7520,354,425,83.3,523,611,85.6,114,255,44.7,1,1.9,1.8,-0.9,22,89,20,4,122
us United States,20,4.0,1816,2234,81.3,32313,10479,800,895,89.4,815,927,87.9,160,281,56.9,3,3.5,3.3,-0.5,37,130,30,6,173
uy Uruguay,19,3.0,1155,1498,77.1,20435,7194,527,623,84.6,457,563,81.2,136,222,61.3,1,2.8,2.7,-1.8,25,100,22,6,116
wls Wales,18,3.0,1044,1366,76.4,20874,7567,380,451,84.3,486,578,84.1,155,261,59.4,0,1.8,1.3,-1.8,18,62,12,5,85
