Unnamed: 0_level_0 Squad,Unnamed: 1_level_0 # Pl,Unnamed: 2_level_0 90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
ar Argentina,24,7.7,15,95,41,43.2,12.39,5.35,0.12,0.27,18.2,3,4,5,15.1,11.3,0.12,-0.1,-0.3
au Australia,20,4.0,3,26,8,30.8,6.5,2.0,0.12,0.38,18.5,0,0,0,2.3,2.3,0.09,0.7,0.7
be Belgium,20,3.0,1,35,9,25.7,11.67,3.0,0.03,0.11,15.6,1,0,0,4.7,4.7,0.14,-3.7,-3.7
br Brazil,26,5.3,8,95,40,42.1,17.81,7.5,0.07,0.18,17.5,7,1,1,12.0,11.2,0.12,-4.0,-4.2
cm Cameroon,22,3.0,4,28,16,57.1,9.33,5.33,0.14,0.25,16.4,1,0,0,3.4,3.4,0.13,0.6,0.6
ca Canada,19,3.0,1,34,4,11.8,11.33,1.33,0.03,0.25,17.0,1,0,1,4.2,3.6,0.11,-3.2,-2.6
cr Costa Rica,22,3.0,3,12,7,58.3,4.0,2.33,0.25,0.43,17.0,0,0,0,1.4,1.4,0.13,1.6,1.6
hr Croatia,21,7.7,8,79,26,32.9,10.3,3.39,0.1,0.31,18.5,1,0,0,7.0,7.0,0.09,1.0,1.0
dk Denmark,20,3.0,1,34,10,29.4,11.33,3.33,0.03,0.1,17.1,0,0,0,2.7,2.7,0.09,-1.7,-1.7
ec Ecuador,18,3.0,4,29,10,34.5,9.67,3.33,0.1,0.3,18.2,1,1,1,3.7,2.9,0.11,0.3,0.1
eng England,20,5.0,13,61,27,44.3,12.2,5.4,0.2,0.44,16.0,4,1,2,8.6,7.0,0.12,4.4,5.0
fr France,24,7.3,16,100,33,33.0,13.64,4.5,0.14,0.42,15.8,2,2,2,13.8,12.2,0.13,2.2,1.8
de Germany,20,3.0,6,68,23,33.8,22.67,7.67,0.07,0.22,16.6,1,1,1,10.1,9.3,0.14,-4.1,-4.3
gh Ghana,20,3.0,5,25,9,36.0,8.33,3.0,0.2,0.56,19.0,0,0,1,4.1,3.4,0.14,0.9,1.6
ir IR Iran,21,3.0,4,32,8,25.0,10.67,2.67,0.09,0.38,20.6,0,1,1,3.2,2.8,0.09,0.8,0.2
jp Japan,22,4.3,5,44,14,31.8,10.15,3.23,0.11,0.36,16.8,2,0,0,5.0,5.0,0.12,0.0,0.0
kr Korea Republic,21,4.0,5,50,18,36.0,12.5,4.5,0.1,0.28,18.3,2,0,0,4.6,4.6,0.09,0.4,0.4
mx Mexico,21,3.0,2,41,15,36.6,13.67,5.0,0.05,0.13,21.9,6,0,0,3.3,3.3,0.08,-1.3,-1.3
ma Morocco,25,7.3,6,61,17,27.9,8.32,2.32,0.1,0.35,19.1,3,0,0,6.6,6.6,0.11,-0.6,-0.6
nl Netherlands,21,5.3,10,42,16,38.1,7.88,3.0,0.24,0.63,16.1,1,0,0,4.6,4.6,0.12,5.4,5.4
pl Poland,21,4.0,3,29,5,17.2,7.25,1.25,0.07,0.4,15.5,1,1,2,4.5,2.9,0.11,-1.5,-0.9
pt Portugal,24,5.0,12,64,24,37.5,12.8,4.8,0.16,0.42,19.2,2,2,2,7.9,6.3,0.1,4.1,3.7
qa Qatar,20,3.0,1,20,6,30.0,6.67,2.0,0.05,0.17,21.5,0,0,0,1.4,1.4,0.07,-0.4,-0.4
sa Saudi Arabia,23,3.0,3,28,8,28.6,9.33,2.67,0.11,0.38,18.7,2,0,1,3.0,2.1,0.08,0.0,0.9
sn Senegal,20,4.0,5,51,12,23.5,12.75,3.0,0.08,0.33,18.5,2,1,1,4.5,3.7,0.07,0.5,0.3
rs Serbia,22,3.0,5,32,9,28.1,10.67,3.0,0.16,0.56,16.5,0,0,0,3.4,3.4,0.11,1.6,1.6
es Spain,21,4.3,9,48,16,33.3,11.08,3.69,0.17,0.5,18.3,1,1,1,6.2,5.4,0.11,2.8,2.6
ch Switzerland,24,4.0,5,37,12,32.4,9.25,3.0,0.14,0.42,15.8,2,0,0,5.5,5.5,0.15,-0.5,-0.5
tn Tunisia,21,3.0,1,32,8,25.0,10.67,2.67,0.03,0.13,18.0,0,0,0,2.3,2.3,0.07,-1.3,-1.3
us United States,20,4.0,3,45,13,28.9,11.25,3.25,0.07,0.23,17.1,1,0,0,4.1,4.1,0.09,-1.1,-1.1
uy Uruguay,19,3.0,2,33,10,30.3,11.0,3.33,0.06,0.2,19.2,1,0,0,3.7,3.7,0.12,-1.7,-1.7
wls Wales,18,3.0,1,23,6,26.1,7.67,2.0,0.0,0.0,20.4,1,1,1,2.7,1.9,0.09,-1.7,-1.9
